,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,717986.2168149389,956785.8146709631,714183.7122934387,615968.1702424847,534236.9358198404,117924.92473543054,108237.23037482836,105057.06187544845,104754.8402056213,104349.84650282266,,,
TT,63126.80979180278,63126.80979180278,51552.40658402823,43559.983542841306,39844.97146424679,9213.118601450291,8594.574643831267,8210.712424177875,7087.736852555694,6407.397530121785,,,
ST,5417.824558008515,5417.824558008515,4361.068752752759,3819.871731622292,3521.855697590972,812.0203410641094,747.692839544651,710.7604148694386,633.3628375411928,572.7291906227762,,,
W+Jets,9487.889178263631,9487.889178263631,7663.693473168243,6730.642393715154,6069.305766287863,877.7346097261484,822.9424575807705,769.0560253910231,767.0993525545282,764.5091922226884,,,
Z+Jets,12055.822300436781,12055.822300436781,9496.976194397968,8352.866691231726,7497.505824419099,1341.7740106652145,1099.8498333159425,1054.7279904437037,1051.6969169895092,1045.5336361778523,,,
Diboson,544.751536187187,544.751536187187,440.36621517608273,397.1988602913971,356.2708525687135,40.80166341958733,32.1451649149291,30.441933511970063,28.55795858078659,27.52914831196599,,,
ggFHbb,120.74204174793252,120.74204174793252,97.39743646948253,82.01494622632748,71.89749297075578,51.69889597905844,24.591823125375548,24.06099460414888,24.037256244256646,23.96558556432901,,,
VBFHbb,32.24173303425971,32.24173303425971,26.59309169750412,23.388254219990884,21.445052520144394,15.83373432439459,7.044394636534095,6.837599080871453,6.817040441992361,6.776820167181944,,,
ZHbb,32.70020301080715,32.70020301080715,26.319653747722505,23.831891324818347,21.340808960221036,13.451302744445808,6.40567307671979,6.106098682439946,6.091163736533592,6.055335523956474,,,
WHbb,56.014320595270185,56.014320595270185,44.859328399588755,41.31579435840018,37.07425829551195,25.959489401694047,12.638621281569758,11.82943597886639,11.795408840148431,11.721871039192806,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.9494503683419864,3.4627537223512252,3.1662752209215874,1.605797638445278,0.8598561269943672,0.826166336677026,0.8245830528372221,0.8183668331770683,,,
ttHbb,156.9411921655786,156.9411921655786,130.92692083412456,111.777819996592,105.38411473235499,34.79054703542502,23.619719415206387,22.615869367779787,19.63083756349352,16.995699615656587,,,
HWW,80.56791059341468,80.56791059341468,67.37046338332074,56.03193342889442,52.46517561431856,11.761683800067527,10.9601169872055,9.777784358187219,7.877394247060831,6.577987594489982,,,
Data,1047903.0,1047903.0,,,,121852.0,113523.0,108395.0,106670.0,105292.0,786824.0,657428.0,558947.0
