,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,717986.2168149389,956785.8146709631,741150.9007846708,648461.7295631297,564755.7159330244,125073.07516655837,115434.60310257316,112531.21260038327,112348.86267899003,111846.28488465265,,,
TT,63126.80979180278,63126.80979180278,52873.43599416053,45464.34440566228,41848.55973803143,9679.769850295963,9048.15830267243,8638.41355093395,7591.362665212246,6837.272894084444,,,
ST,5417.824558008515,5417.824558008515,4471.8520624987905,3968.542857094534,3681.113886809768,852.7109643611525,793.5071777426353,754.5771522847626,690.7812225326646,629.8520589602253,,,
W+Jets,9487.889178263631,9487.889178263631,7884.872727254259,7004.596697508541,6353.021859276834,1389.6863061488816,1291.9824258920767,1226.6525597692548,1223.4407383468067,1219.635374644753,,,
Z+Jets,12055.822300436781,12055.822300436781,9793.303260964854,8714.952250749071,7865.97852737521,3210.9667213043194,2140.7426137310613,2068.6901583222275,2064.0936518290687,2053.9118902023292,,,
Diboson,544.751536187187,544.751536187187,452.58986876008356,412.6329832891736,373.40818360617834,128.06091121055465,83.83430822434607,80.470930171814,76.39105237737564,73.44978660435224,,,
ggFHbb,120.74204174793252,120.74204174793252,100.37286639508696,86.1090233477592,76.33069062815309,15.513414880338381,9.720318084481217,9.601462676056393,9.586970899392677,9.49184328019075,,,
VBFHbb,32.24173303425971,32.24173303425971,27.351631117018236,24.381483770328988,22.380544292889894,4.273504898940423,2.384965059550475,2.334518079078574,2.3258660011359273,2.3067180489497803,,,
ZHbb,32.70020301080715,32.70020301080715,27.130351521381897,24.82507826924223,22.333952519764,5.253706332137025,2.5836760647047186,2.4725239446133314,2.4667817186893366,2.4328010424531348,,,
WHbb,56.014320595270185,56.014320595270185,46.23189292940414,42.91435748045733,38.79438753797529,7.446367190939148,4.33402673696533,4.06966584966958,4.064090024012371,4.035815533310659,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.056299477621234,3.605601612801594,3.3144790531608406,0.8099213405689831,0.4986409570785917,0.4826569843637884,0.4805865298857708,0.4750930776109936,,,
ttHbb,156.9411921655786,156.9411921655786,133.76469553301519,116.11617041575103,109.8469165023967,23.534112237585195,19.407105719185964,18.616711873929372,16.246917540075025,14.279092104828667,,,
HWW,80.56791059341468,80.56791059341468,68.74974369475333,58.34478898456673,54.78950148537358,12.364843243613214,11.177717738938538,9.737794323946785,7.807434786481732,6.533017068957527,,,
Data,1047903.0,1047903.0,,,,123461.0,114757.0,109564.0,108079.0,106711.0,786824.0,657428.0,558947.0
