,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,717986.2168149389,956785.8146709631,714183.7122934387,615968.1702424847,534236.9358198404,117924.92473543054,9687.69436060219,381.2640324364068,381.2640324364068,381.2640324364068,,,
TT,63126.80979180278,63126.80979180278,51552.40658402823,43559.983542841306,39844.97146424679,9213.118601450291,618.543957619022,25.607963636274377,22.366702717374267,21.725102147428913,,,
ST,5417.824558008515,5417.824558008515,4361.068752752759,3819.871731622292,3521.855697590972,812.0203410641094,64.32750151945844,2.577352805346457,2.320854278044094,2.183634416660191,,,
W+Jets,9487.889178263631,9487.889178263631,7663.693473168243,6730.642393715154,6069.305766287863,877.7346097261484,54.792152145377784,4.744310810748418,4.744310810748418,4.744310810748418,,,
Z+Jets,12055.822300436781,12055.822300436781,9496.976194397968,8352.866691231726,7497.505824419099,1341.7740106652145,241.9241773492717,8.34818705869256,8.34818705869256,8.34818705869256,,,
Diboson,544.751536187187,544.751536187187,440.36621517608273,397.1988602913971,356.2708525687135,40.80166341958733,8.656498504658234,0.0817828490005958,0.0817828490005958,0.0817828490005958,,,
ggFHbb,120.74204174793252,120.74204174793252,97.39743646948253,82.01494622632748,71.89749297075578,51.69889597905844,27.107072853682894,0.7566098625968669,0.7566098625968669,0.7566098625968669,,,
VBFHbb,32.24173303425971,32.24173303425971,26.59309169750412,23.388254219990884,21.445052520144394,15.83373432439459,8.789339687860494,0.18784277833354587,0.18784277833354587,0.18784277833354587,,,
ZHbb,32.70020301080715,32.70020301080715,26.319653747722505,23.831891324818347,21.340808960221036,13.451302744445808,7.045629667726017,0.3854806885372416,0.3854806885372416,0.3854806885372416,,,
WHbb,56.014320595270185,56.014320595270185,44.859328399588755,41.31579435840018,37.07425829551195,25.959489401694047,13.320868120124292,0.9772227574197438,0.9763214934185086,0.970283336954482,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.9494503683419864,3.4627537223512252,3.1662752209215874,1.605797638445278,0.7459415114509107,0.029010924801475026,0.029010924801475026,0.028486067452510616,,,
ttHbb,156.9411921655786,156.9411921655786,130.92692083412456,111.777819996592,105.38411473235499,34.79054703542502,11.170827620218635,0.47890197993590666,0.45320276160288103,0.4006784985986673,,,
HWW,80.56791059341468,80.56791059341468,67.37046338332074,56.03193342889442,52.46517561431856,11.761683800067527,0.8015668128620264,0.12917464018397512,0.12539394265920856,0.12000463287828483,,,
Data,1047903.0,1047903.0,,,,121852.0,8329.0,369.0,366.0,361.0,786824.0,657428.0,558947.0
