,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,717986.2168149389,956785.8146709631,741150.9007846708,648461.7295631297,564755.7159330244,125191.06391341916,114837.79220260362,111497.42775548199,111180.54886392949,110762.94640612413,,,
TT,63126.80979180278,63126.80979180278,52873.43599416053,45464.34440566228,41848.55973803143,9861.866064104353,9201.18368500694,8788.83855116807,7584.009147423217,6848.904108975703,,,
ST,5417.824558008515,5417.824558008515,4471.8520624987905,3968.542857094534,3681.113886809768,863.9524109840723,795.4986796314786,755.3128652392602,674.919358048682,612.3904192351702,,,
W+Jets,9487.889178263631,9487.889178263631,7884.872727254259,7004.596697508541,6353.021859276834,930.2298899476442,872.3844942697482,815.2335405158362,813.2768676793411,810.6438703937243,,,
Z+Jets,12055.822300436781,12055.822300436781,9793.303260964854,8714.952250749071,7865.97852737521,1413.156022306032,1156.7762643989165,1109.8301710077671,1106.5934156651344,1099.975767705924,,,
Diboson,544.751536187187,544.751536187187,452.58986876008356,412.6329832891736,373.40818360617834,42.08001576589257,33.275147460048856,31.571916057089823,29.687941125906356,28.659130857085753,,,
ggFHbb,120.74204174793252,120.74204174793252,100.37286639508696,86.1090233477592,76.33069062815309,54.77519925187273,26.18591457079699,25.621224827381155,25.597486467488913,25.525815787561278,,,
VBFHbb,32.24173303425971,32.24173303425971,27.351631117018236,24.381483770328988,22.380544292889894,16.507537099989364,7.379865844883183,7.167036093120501,7.146477454241409,7.106257179430991,,,
ZHbb,32.70020301080715,32.70020301080715,27.130351521381897,24.82507826924223,22.333952519764,14.068575970432555,6.71686823500772,6.405878237235573,6.387735777265219,6.351459856846901,,,
WHbb,56.014320595270185,56.014320595270185,46.23189292940414,42.91435748045733,38.79438753797529,27.12536445311043,13.241342933337855,12.392398822633012,12.355932038729144,12.281554702415118,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.056299477621234,3.605601612801594,3.3144790531608406,1.69523489600136,0.9072268729945471,0.8714370464911171,0.8696710340261828,0.8632133633111133,,,
ttHbb,156.9411921655786,156.9411921655786,133.76469553301519,116.11617041575103,109.8469165023967,36.62346549437412,24.949134171254627,23.889606614607935,20.722895205382418,17.923347590216142,,,
HWW,80.56791059341468,80.56791059341468,68.74974369475333,58.34478898456673,54.78950148537358,12.47540958370604,11.631817359317752,10.375364909358266,8.348192341673151,6.96391493341359,,,
Data,1047903.0,1047903.0,,,,121852.0,113523.0,108395.0,106670.0,105292.0,786824.0,657428.0,558947.0
