,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_up < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121421.72909483308,10022.866060617427,369.0294275185666,369.0294275185666,369.0294275185666,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9626.400108221718,639.5517704236789,25.641856745612706,22.657188721717336,22.02606422548202,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,838.9546637045058,64.89585273400435,3.3171294610469255,3.0606309337445627,2.923411072360659,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,921.0169149982357,58.10439864094676,4.312295330882089,4.312295330882089,4.312295330882089,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1488.2854442218832,295.6512163025489,10.256880153548131,10.256880153548131,10.256880153548131,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,45.547979081431066,11.01627624535487,0.0817828490005958,0.0817828490005958,0.0817828490005958,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,49.395810398580274,25.468175270043957,0.6594838712407952,0.6594838712407952,0.6594838712407952,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,15.066760529246428,8.321524770393697,0.18278847734422127,0.18278847734422127,0.18278847734422127,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,12.931946887452927,6.730025211955667,0.3652776914559188,0.3652776914559188,0.3652776914559188,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,24.72219616633285,12.629239944750303,0.9354072563126123,0.9354072563126123,0.9297832717010068,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.5811609140648482,0.7279477115995655,0.028304437498111828,0.028304437498111828,0.027779580149147422,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,34.73465319036491,10.789158129801393,0.4448115955160664,0.4228421741691951,0.3757634061639996,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.034794194035623,0.8261364134727988,0.12160916966872623,0.11592440359444825,0.11053509381352453,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,8329.0,369.0,366.0,361.0,121852.0
