,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,717986.2168149389,956785.8146709631,729009.8166378612,632770.6431251022,550725.6083517713,121876.53194350224,9404.665344370183,205.64609374189683,205.64609374189683,205.64609374189683,,,
TT,63126.80979180278,63126.80979180278,52307.752567227646,44608.88036847646,40960.186800860545,9428.117732808054,617.1351114122122,25.238815508521668,23.07279817647096,22.021228302120264,,,
ST,5417.824558008515,5417.824558008515,4420.060664662024,3896.6917550329294,3605.625484542623,831.8967773896197,57.78939983992119,4.757396457352574,4.434893291172006,4.434893291172006,,,
W+Jets,9487.889178263631,9487.889178263631,7788.631768429786,6872.1705167891205,6223.216524019337,1362.4066591197025,95.85062238279366,4.680657516727737,4.680657516727737,4.680657516727737,,,
Z+Jets,12055.822300436781,12055.822300436781,9653.42452532473,8537.411648615407,7693.774763522865,3136.6930686304563,1046.8701331457428,33.96859096132809,33.816155212808056,33.68779553594342,,,
Diboson,544.751536187187,544.751536187187,447.1502602699485,405.1247830302423,366.00037339728885,125.15831626359326,43.32089153602534,2.2724211085862995,2.1846871197330033,2.1846871197330033,,,
ggFHbb,120.74204174793252,120.74204174793252,99.21531675410412,84.26484907163629,74.20384242952278,14.981604673864704,5.593391474516648,0.06205812997154596,0.06205812997154596,0.06205812997154596,,,
VBFHbb,32.24173303425971,32.24173303425971,27.03059633139585,23.886535018168956,21.91863065673472,4.157152227108506,1.834466438294026,0.05841424048708599,0.05841424048708599,0.05841424048708599,,,
ZHbb,32.70020301080715,32.70020301080715,26.779028229277948,24.372369780348443,21.896097839711018,5.147472092299735,2.61386416813907,0.09190121065057677,0.09190121065057677,0.09092215283315455,,,
WHbb,56.014320595270185,56.014320595270185,45.634585674493024,42.152603379594915,38.02110436419921,7.292025844398702,3.053099553960818,0.21802846121815023,0.21802846121815023,0.2139721314927276,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.0054118611177145,3.5371238620672836,3.2461063266471135,0.7939825093932485,0.3049387875411047,0.007825244585753564,0.007825244585753564,0.007825244585753564,,,
ttHbb,156.9411921655786,156.9411921655786,132.51692822171967,114.20200598186729,107.86841162910736,23.026130196763383,4.06623592116674,0.15873166944579636,0.1462156041487943,0.13362104373738734,,,
HWW,80.56791059341468,80.56791059341468,68.14992710202029,57.30611607933538,53.740043166739774,12.089033351767254,1.152147158821334,0.23458967898118718,0.2260210286834536,0.21930538554068843,,,
Data,1047903.0,1047903.0,,,,123461.0,8704.0,408.0,405.0,401.0,786824.0,657428.0,558947.0
