,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_down < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,122287.05947534672,112862.60994007924,109923.96940274171,109790.47741051138,109260.63750044876,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9348.13762547189,8734.912689047364,8342.752697496677,7322.024196867908,6596.084827289968,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,836.7485650226539,780.4465262698861,740.0050217373595,676.414020825823,618.4350896189355,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1334.9094591823155,1238.7952162238432,1172.81567838873,1169.6204148382944,1165.7960714447418,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3200.1161264406996,2125.2097928960775,2053.2592216405587,2049.0913041287376,2039.1602756368413,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,127.20781548706125,81.69344717932975,78.61375138665822,75.03109419621796,71.85722919069207,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,13.870305434325084,8.62761785252619,8.568078559541483,8.568078559541483,8.503485745550474,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,3.812349826399701,2.169523043278833,2.128780548206376,2.1201284702637295,2.114251204368516,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.091581664297754,2.550207374352998,2.4283792974621665,2.4226370715381726,2.3943964336861563,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,6.850099823603781,4.01458027346974,3.757848785256744,3.7504841928100956,3.7229086805599554,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7847510630837837,0.4818374485736724,0.46785749983650254,0.4657870453584849,0.45986804987826824,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,22.77653142516348,18.864044238028598,18.102467547467878,15.775822805383868,13.837007809656722,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.053152436691342,10.873091209446486,9.496833037431024,7.653836428678407,6.379686427201536,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,114757.0,109564.0,108079.0,106711.0,123461.0
