,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121443.78217337315,10007.351712609294,381.2640324364068,381.2640324364068,381.2640324364068
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9543.702690680302,640.0668569148492,26.374529906229547,23.041331756095282,22.399731186149932
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,839.0575234630037,66.71566205735294,3.315039502725968,3.0585409754236053,2.921321114039702
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,901.8125979819712,56.725729738222995,4.744310810748418,4.744310810748418,4.744310810748418
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1378.5038935580644,248.45625642988477,8.514029562827572,8.514029562827572,8.514029562827572
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,41.7335911099583,8.722401975682235,0.0817828490005958,0.0817828490005958,0.0817828490005958
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,53.16332193118329,27.852146565250468,0.7566098625968669,0.7566098625968669,0.7566098625968669
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.12831624613876,8.972423215245918,0.1966750232929772,0.1966750232929772,0.1966750232929772
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,13.779815521829281,7.197263953144692,0.3881837205619354,0.3881837205619354,0.3881837205619354
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,26.532975588579433,13.589827853751569,0.9974274331137315,0.9961433245305431,0.9901051680665166
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.650544204922915,0.765906217104725,0.030041093168629452,0.030041093168629452,0.029516235819665042
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,35.728579653972574,11.410140129232168,0.4871209353022222,0.4614217169691966,0.4088974539649828
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.119449469298782,0.8215651970383319,0.13003233362306063,0.12625163609829407,0.12086232631737037
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,121852.0,8329.0,369.0,366.0,361.0
