,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_up < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,120330.12254842122,111154.14526979488,108261.47763294438,108117.45745695314,107657.63276923944,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9668.167432233207,9015.34179041609,8610.094959847786,7598.899555121387,6849.955434630007,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,844.9374617858066,786.1017161759955,743.1916479358922,680.9046578657442,619.770917704189,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1406.2657082801693,1309.4414576278377,1242.695688497256,1239.5073235241043,1235.606377977771,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,2888.171856067911,1950.936675271546,1884.1107196015564,1880.2212331234912,1871.300193110854,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,120.70780039192573,83.45186780590353,80.0806763487797,75.9766811521659,72.6650417278257,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,17.747255168357057,10.044362981650607,9.907626524001543,9.893134747337827,9.825021654690056,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.977845818946739,2.64570501503502,2.5714538550901027,2.5628017771474565,2.5569245112522427,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.717184118783575,2.8010243165673603,2.677475114706141,2.6666281373340466,2.6336815086214767,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,8.67245161117113,4.861179644511324,4.563548275994518,4.554925839737321,4.529552873317053,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.8292316513362156,0.5044399990942198,0.4884160120247879,0.4866113679934317,0.4818606354419914,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,24.135872738041854,19.547405043820437,18.77178567348163,16.414218786464573,14.402758794728006,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.440950310937982,11.284576035472341,9.838189704049777,7.935257814370844,6.659696810491578,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,114757.0,109564.0,108079.0,106711.0,123461.0
