,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,717986.2168149389,956785.8146709631,726861.2686689944,631733.68895987,548486.0254915995,121405.36435586576,9301.592915260939,205.64609374189683,205.64609374189683,205.64609374189683,,,
TT,63126.80979180278,63126.80979180278,52180.64882571194,44474.013556633756,40779.74481033034,9374.05791481311,613.9345897173082,25.115960496535475,22.949943164484772,21.898373290134067,,,
ST,5417.824558008515,5417.824558008515,4410.108840782719,3887.2354206342284,3588.726731660046,826.2916045329044,57.361296119040134,4.757396457352574,4.434893291172006,4.434893291172006,,,
W+Jets,9487.889178263631,9487.889178263631,7766.534060225604,6861.006997181592,6200.111084590705,1355.8679330741172,95.66787937935412,4.680657516727737,4.680657516727737,4.680657516727737,,,
Z+Jets,12055.822300436781,12055.822300436781,9632.876880406508,8529.350203837557,7669.377366625927,3124.1692824760453,1043.3927172082053,34.01606494416744,33.86362919564739,33.73526951878277,,,
Diboson,544.751536187187,544.751536187187,446.7012941571987,405.6090965809698,365.4378053457647,124.95047160769587,42.951737206604214,2.2724211085862995,2.1846871197330033,2.1846871197330033,,,
ggFHbb,120.74204174793252,120.74204174793252,99.01628386370527,84.05390007921997,73.97794031096234,14.99504156729095,5.606347890867937,0.06205812997154596,0.06205812997154596,0.06205812997154596,,,
VBFHbb,32.24173303425971,32.24173303425971,26.91193918763821,23.83256642772014,21.833140058460792,4.183718196180154,1.8477617210747401,0.05841424048708599,0.05841424048708599,0.05841424048708599,,,
ZHbb,32.70020301080715,32.70020301080715,26.726592651811874,24.344331060276595,21.82289402707317,5.112380632115909,2.587928174085647,0.09124719951324758,0.09124719951324758,0.09026814169582537,,,
WHbb,56.014320595270185,56.014320595270185,45.540006597014084,42.10793858660798,37.8562894671351,7.242532713834336,3.036334396682882,0.2179400337571484,0.2179400337571484,0.21388370403172574,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.999470476936972,3.535557587649001,3.2344200398911394,0.7893945011570728,0.30326388162977014,0.007497087232630226,0.007497087232630226,0.007497087232630226,,,
ttHbb,156.9411921655786,156.9411921655786,132.3045815648638,113.85802878364558,107.51272262887578,22.95097142612891,4.044932400174467,0.15682459448154162,0.14430852918453954,0.13171396877313257,,,
HWW,80.56791059341468,80.56791059341468,68.00471856066271,57.11598631015099,53.521453867681764,12.03660403485501,1.147790764116528,0.23492392150479613,0.2263552712070625,0.21963962806429735,,,
Data,1047903.0,1047903.0,,,,123461.0,8704.0,408.0,405.0,401.0,786824.0,657428.0,558947.0
