,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1075869641063874,1.107548783068788,0.08669153069660519,0.05942052983027911,0.05449846270404636,0.05439250982172293,0.05418184995635985
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.8017040571957035,0.8016865012440655,0.061171470089934225,0.04248612309258376,0.037972457894571404,0.0379353907661833,0.03777982495829125
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8400616466932882,0.8400616466932882,0.0431049075104267,0.028991971339751323,0.025929091457635,0.025929091457635,0.02589152219256236
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4344951520376874,1.4344794733446775,0.10011741872445179,0.06765369710731312,0.06111640975010607,0.060917733364639855,0.060874942312823345
VBFHHbbVV,0.02156889733130559,0.02156889733130559,0.02156889733130559,0.001423998195750763,0.0010195084067614799,0.0006383177092187273,0.0006363317361060484,0.0006273893654525824
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,11.011890669981481,11.011837771083332,1.1460956370767583,0.8629872990507712,0.38819506110245516,0.38741248066155276,0.38565348379766856
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.524043546899545,18.524043546899545,1.9087311868979167,1.4222147718716172,0.6533090221018585,0.6522928366934633,0.6500787937695458
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.0215265594427219,0.0215265594427219,0.0007691761120813622,0.0005165064289812276,0.00031536572268860575,0.000313079896380296,0.000313079896380296
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.950651783702952,9.950627713653182,1.0551443093003352,0.7909096152122912,0.34902637780191204,0.3482927262235846,0.3471077770469972
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.056261892429548606,0.056261892429548606,0.004309204478027967,0.0031505618633992398,0.00202642019490331,0.00202642019490331,0.0020111467908367994
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.947068781212984,5.947068781212984,0.6852273353559675,0.5429870237856231,0.25981330849726936,0.25981330849726936,0.25981330849726936
