,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1000482538439582,1.0935678320187143,0.08766164876293989,0.06005910357247311,0.05504886675562819,0.05495729484192352,0.05474392783712359
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7967505688556613,0.7930445292495321,0.06199268945629908,0.04291944658531047,0.03844716489037607,0.03841809044890617,0.03826498314048367
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8354527927589055,0.8320594978450349,0.04467134172006808,0.02994410505203067,0.026832008460671807,0.026832008460671807,0.026780170129712642
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4234080613658215,1.4138367950410329,0.10189359029666273,0.06884318636604747,0.062293661515864795,0.06209498513039857,0.06194272999661578
VBFHHbbVV,0.02156889733130559,0.021435265389209243,0.021312659614637335,0.00145652922727974,0.0010375107077330555,0.0006465029785547847,0.0006445170054421058,0.0006355746347886398
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.989155748948237,10.970294008297934,1.1744158549010504,0.8846125364466467,0.40260205824245643,0.401744678405142,0.39981229359282655
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478374558355636,18.444988776552194,1.9522784015329953,1.4584224440552243,0.675834778442526,0.6746352667379507,0.6723608445077369
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021411881720740194,0.021308163109968407,0.000787718215670223,0.0005295064572069473,0.00031969931049613163,0.0003174134841878219,0.0003174134841878219
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.931229118293526,9.917143037920416,1.0841698989878472,0.8140951399051468,0.3613857214343519,0.36067880349160386,0.35948907936913493
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055925886375988984,0.05559233025468232,0.004353723495776634,0.00314789949528701,0.002009607246307465,0.002009607246307465,0.001994333842240954
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.935073120521078,5.93172727710674,0.6934500196429959,0.5491416247253926,0.27502290042243765,0.27502290042243765,0.27502290042243765
