,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1000482538439582,1.0935678320187143,0.0785288114178661,0.053450258999146016,0.04867371285522731,0.048582140941522634,0.04837990488275002
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7967505688556613,0.7930445292495321,0.05491359184432152,0.03819329266922146,0.03392543018574577,0.03389221339548945,0.03377857802527806
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8354527927589055,0.8320594978450349,0.04029353230790837,0.027212292168775028,0.024280495833576072,0.024280495833576072,0.024242926568503433
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4234080613658215,1.4138367950410329,0.09159489205874616,0.062444634705198385,0.05634135872146988,0.056142682336003655,0.0560855708076598
VBFHHbbVV,0.02156889733130559,0.021435265389209243,0.021312659614637335,0.0013291258913213852,0.0009394529578815777,0.0005892208856355501,0.0005872349125228712,0.0005782925418694052
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.989155748948237,10.970294008297934,1.0306525918568108,0.7737229962819361,0.3443265784776063,0.34355858100513387,0.3419948776960373
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478374558355636,18.444988776552194,1.724039769106636,1.2892220280605426,0.5841180433727391,0.5832461801035058,0.580630496010405
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021411881720740194,0.021308163109968407,0.0006883605088985925,0.0004651857299981992,0.00028290549836098384,0.0002806196720526741,0.0002806196720526741
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.931229118293526,9.917143037920416,0.9549380151819884,0.7171770931216266,0.31276316570657015,0.3120600740689342,0.31105270398383933
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055925886375988984,0.05559233025468232,0.0038393803557391993,0.0028019836746180234,0.0017747738620989403,0.0017747738620989403,0.00175950045803243
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.935073120521078,5.93172727710674,0.614119154473354,0.4898061512895992,0.22512515581841755,0.22512515581841755,0.22512515581841755
