,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.091146309401864,1.0775751363940185,0.08515126325590625,0.05837661347515105,0.053443328566862666,0.053365668600543516,0.053149754461958895
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7911490082326493,0.7831725381593271,0.060163471301947546,0.041851061687623085,0.03734954546887571,0.037305187457871467,0.03716376463749959
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8298623229345102,0.8211889689015982,0.0428668002677497,0.02882315457570981,0.025763469129328784,0.025763469129328784,0.025725899864256142
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4108196510567614,1.3914851125520982,0.09808562029554249,0.06658571766003003,0.0600794396898211,0.05988076330435489,0.05980926630822105
VBFHHbbVV,0.02156889733130559,0.021303257817029315,0.021060639681412942,0.0014076050142169546,0.0010013753601815062,0.0006251997906356734,0.0006232138175229945,0.0006142714468695285
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.962583580025129,10.923002378960156,1.140433416242647,0.8587878262509616,0.3866853909004167,0.3858103651530913,0.3839889557839615
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.428510055180677,18.356966151105297,1.899848262384126,1.4193590039325534,0.6491732690928521,0.6481324910190436,0.6456093985748077
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021274331021554467,0.021060376292789486,0.0007615523145634422,0.0005088295797925802,0.000309900435929207,0.00030761460962089717,0.00030761460962089717
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.910138396439251,9.879937628610413,1.0522525713911115,0.7900445017720088,0.3468302405497361,0.3460528089154043,0.3449071368481954
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.05552474006242132,0.054865747881864366,0.004161685842633932,0.003062456072714585,0.0019397390760976705,0.0019397390760976705,0.00192446567203116
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.925556768729572,5.902629263953207,0.6743611762968076,0.5321208647264634,0.251692231709926,0.251692231709926,0.251692231709926
