,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1000482538439582,1.0935678320187143,0.08575867816716046,0.05876894362558031,0.05383859999632572,0.05376094003000656,0.0535585430238941
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7967505688556613,0.7930445292495321,0.06035085085629355,0.042010420834096535,0.03751109059701528,0.03747402346862717,0.037324718706871554
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8354527927589055,0.8320594978450349,0.04274827968093465,0.028825250500387666,0.025791905083335294,0.025791905083335294,0.025754335818262652
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4234080613658215,1.4138367950410329,0.09920365520759702,0.06716710744168868,0.06054960527524137,0.060350928889775154,0.06027943189364132
VBFHHbbVV,0.02156889733130559,0.021435265389209243,0.021312659614637335,0.001413364971989872,0.0010092061606104832,0.0006343211613098127,0.0006323351881971337,0.0006233928175436677
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.989155748948237,10.970294008297934,1.1424977218691594,0.8597494235158202,0.3868045732159376,0.38597646442011363,0.3842174675562294
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478374558355636,18.444988776552194,1.9041940509054263,1.4218662276001832,0.6498940247230172,0.6488013855756446,0.6463978903193378
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021411881720740194,0.021308163109968407,0.0007631539105943665,0.0005094084553401581,0.0003057532080155309,0.0003034673817072211,0.0003034673817072211
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.931229118293526,9.917143037920416,1.0536100906119,0.7907977177218085,0.3476539180002931,0.3469202664219655,0.3457516152145441
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055925886375988984,0.05559233025468232,0.004257863020380509,0.00312567262106066,0.00198981801239433,0.00198981801239433,0.0019745446083278195
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.935073120521078,5.93172727710674,0.6869907530193098,0.5399116588358199,0.26080705241328533,0.26080705241328533,0.26080705241328533
