,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.091146309401864,1.0775751363940185,0.36260021146222254,0.3619900784096606,0.3601141348810244
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7911490082326493,0.7831725381593271,0.2724704779655014,0.27207681111186655,0.2706468929260046
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8298623229345102,0.8211889689015982,0.3689880718976589,0.3684153628931839,0.3662166423769444
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4108196510567614,1.3914851125520982,0.4770783686099016,0.4760029074060134,0.4738144154414817
VBFHHbbVV,0.02156889733130559,0.021303257817029315,0.021060639681412942,0.007590520568603389,0.007565456004937975,0.0075230662918777825
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.962583580025129,10.923002378960156,2.983488394684275,2.976234856664759,2.9610013633385
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.428510055180677,18.356966151105297,5.0657411277509725,5.053069348630045,5.02831968045726
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021274331021554467,0.021060376292789486,0.010274388270662769,0.010219253557581177,0.010155094076965703
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.910138396439251,9.879937628610413,2.6924941830083604,2.6866443210769746,2.67304584190976
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.05552474006242132,0.054865747881864366,0.017724592313628842,0.017667793532645207,0.017588456970582762
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.925556768729572,5.902629263953207,1.5669747478021778,1.5583116285123328,1.5492516267956766
