,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1075869641063874,1.107548783068788,0.011396193890084078,0.005640751815267582,0.005640751815267582,0.005630122809218119
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.8017040571957035,0.8016865012440655,0.010099398896668426,0.005459457605124591,0.005459457605124591,0.005454805903128974
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8400616466932882,0.8400616466932882,0.0078619324919828,0.004025771503524865,0.004025771503524865,0.004025771503524865
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4344951520376874,1.4344794733446775,0.014193899792839405,0.007884809436380664,0.007884809436380664,0.007884809436380664
VBFHHbbVV,0.02156889733130559,0.02156889733130559,0.02156889733130559,0.001303811735252286,0.0006892676924281752,0.0006892676924281752,0.0006797019544983071
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,11.011890669981481,11.011837771083332,2.062452796177329,1.241964858853313,1.240131598578603,1.2366764252134081
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.524043546899545,18.524043546899545,3.353083624264439,1.9999390857640387,1.995521774867366,1.98949788964382
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.0215265594427219,0.0215265594427219,0.0006679632036639766,0.00038063303450412396,0.00038063303450412396,0.00038063303450412396
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.950651783702952,9.950627713653182,1.9481344109354977,1.1696491510899718,1.1678421847490124,1.1648497704870167
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.056261892429548606,0.056261892429548606,0.0038622610067288042,0.0019903867077098935,0.0019903867077098935,0.001982176317080366
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.947068781212984,5.947068781212984,1.1672277636827002,0.6876312847477494,0.6876312847477494,0.6876312847477494
