,MX,MY,Limit (fb)
0,3500.0,600.0,0.4703125059604645
1,3500.0,900.0,0.15703125298023224
2,3500.0,1200.0,0.18515625596046448
3,3500.0,1600.0,0.16953125596046448
4,3500.0,2200.0,0.20781250298023224
5,3500.0,2800.0,0.3343749940395355
6,3000.0,70.0,15.199999809265137
7,3000.0,150.0,178.0
8,3000.0,400.0,5.949999809265137
9,3000.0,600.0,0.42656248807907104
10,3000.0,900.0,0.29296875
11,3000.0,1600.0,0.2953124940395355
12,3000.0,2200.0,0.3765625059604645
13,3000.0,2600.0,1.2625000476837158
14,2800.0,70.0,16.549999237060547
15,2800.0,100.0,18.25
16,2800.0,190.0,371.29998779296875
17,2800.0,350.0,16.200000762939453
18,2800.0,600.0,0.559374988079071
19,2800.0,1000.0,0.784375011920929
20,2800.0,1400.0,0.7406250238418579
21,2800.0,2200.0,0.5484374761581421
22,1800.0,1200.0,1.5937499701976776
23,4000.0,60.0,57.099998474121094
24,4000.0,70.0,39.5
25,4000.0,80.0,36.0
26,4000.0,90.0,34.099998474121094
27,4000.0,100.0,35.099998474121094
28,4000.0,125.0,274.6000061035156
29,4000.0,300.0,154.5
30,4000.0,500.0,2.9124999046325684
31,4000.0,700.0,0.3984375
32,4000.0,900.0,0.17109374701976776
33,4000.0,1100.0,0.21796874701976776
34,4000.0,1300.0,0.20624999701976776
35,4000.0,1600.0,0.19140625
36,4000.0,2000.0,0.25312501192092896
37,4000.0,2400.0,0.23125000298023224
38,4000.0,2600.0,0.24453124403953552
39,3500.0,60.0,27.450000762939453
40,3500.0,70.0,18.5
41,3500.0,90.0,17.100000381469727
42,3500.0,125.0,131.8000030517578
43,3500.0,190.0,400.0
44,3500.0,300.0,66.69999694824219
45,3500.0,400.0,6.875
46,3500.0,500.0,1.587499976158142
47,3500.0,800.0,0.16171875596046448
48,3500.0,1100.0,0.19374999403953552
49,3500.0,1400.0,0.20546874403953552
50,3500.0,2000.0,0.2265625
51,3500.0,2500.0,0.23046875
52,3000.0,60.0,22.950000762939453
53,3000.0,90.0,14.875
54,3000.0,125.0,106.30000305175781
55,3000.0,300.0,50.099998474121094
56,3000.0,450.0,2.700000047683716
57,3000.0,700.0,0.3062500059604645
58,3000.0,1000.0,0.38749998807907104
59,3000.0,1300.0,0.3499999940395355
