,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.0818394843615291,0.05650913286154602,0.05259256523799038,0.05253421356037585,0.052243403195065805,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6649531572120448,0.6617354385600798,0.05893170557174325,0.04069161271080565,0.03718761307575416,0.03711591763526187,0.03698111957831809,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6920514447111688,0.6892047021562906,0.04236331321643043,0.030029432622327497,0.026979806860242764,0.026912411134818317,0.026848494236442325,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1863493648635597,1.17930333767202,0.10377377724909449,0.07386849102871956,0.06827071294345591,0.0681227260466935,0.06778358185700341,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017030078444247275,0.016924919012766975,0.0011881870067830752,0.0008811456890223873,0.0006010815401053856,0.0006010815401053856,0.0005946755942094009,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,1.1068914648316595,0.8308118423028019,0.39276090905209704,0.3918729606138558,0.3900746304908137,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.23647158421826,15.20829496277662,1.849807456143012,1.3880285728857187,0.654368772431631,0.6524162281469175,0.6484758466176235,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.017299990201845,0.017214419089199705,0.0006678607292219425,0.0004164457427883279,0.0002787473166849121,0.00027635130484047945,0.00027635130484047945,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.123943352838433,8.11286122859791,1.0274918860575235,0.7762529917452201,0.36133134890111224,0.3605743180475241,0.3590760737271152,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.0459311591300662,0.04565497610400018,0.0047043944726829455,0.0035059556284265173,0.002153086795257586,0.002153086795257586,0.0021472437238676343,
QCD,717986.216814939,956785.8146709627,948406.4124347997,941617.267942029,59.96740703584952,17.425611373755153,17.425611373755153,17.425611373755153,17.425611373755153,
TT,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,22.838496997430624,4.106588363530893,4.165726521739612,3.765305160323693,3.6524420338020067,
ST,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,1.235614848478772,0.2793657353914413,0.2793657353914413,0.2793657353914413,0.2793657353914413,
W+Jets,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,5.374678895341248,1.133893703111495,1.0371520695821397,1.0371520695821397,1.0371520695821397,
Z+Jets,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,3.317471649416392,1.561093130868247,1.561093130868247,1.561093130868247,1.561093130868247,
Diboson,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0,0.0,
ggFHbb,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.05559762139049193,0.037794760201375316,0.037794760201375316,0.037794760201375316,0.037794760201375316,
VBFHbb,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0,0.0,
ZHbb,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.008196364407564306,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,
WHbb,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.01052673571981664,0.005880346821978232,0.005880346821978232,0.005880346821978232,0.005880346821978232,
ggZHbb,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.0010928800343171664,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,
ttHbb,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.06838401832030344,0.026281605139186003,0.025207700016351177,0.024253900580033703,0.022848726504831822,
HWW,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.8345053798683546,0.24738681983881455,0.23536373899590252,0.23116473643793872,0.2188756751242076,
Data,1047903.0,1047903.0,1047903.0,1047903.0,,44.0,44.0,44.0,43.0,243.0
