,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,1.706591057896172,1.706591057896172,1.6956488206244413,1.6870219762186835,0.18315735909558503,0.12556395016002056,0.11013077403237485,0.10996066717304594,0.10947357640026578,,,
QCD,1126208.5372077704,1204990.9790546382,1195580.4197497359,1188493.8378485164,104.96983854574549,9.892321776669444,9.224138365383206,9.224138365383206,9.224138365383206,,,
TT,126178.01663528237,126178.01663528237,125277.51309674431,124328.8175008741,48.67570893827259,8.68853200933301,8.68853200933301,7.6124758482777075,6.927636002773184,,,
ST,11213.018738828063,11213.018738828063,11119.661879992498,11058.864901644467,4.099023207445477,1.0955139400830274,1.0955139400830274,1.0955139400830274,1.0955139400830274,,,
W+Jets,15930.077126498532,15930.077126498532,15826.798062580072,15744.192115021908,12.262859854653719,3.1672975367896283,3.0473396123044165,3.0473396123044165,3.0473396123044165,,,
Z+Jets,22772.15825578505,22772.15825578505,22591.343797623595,22477.3522387971,6.349097569605066,2.1949087118814647,2.1949087118814647,2.1949087118814647,2.1949087118814647,,,
Diboson,1008.665041486354,1008.665041486354,1001.555468829989,995.7367767362746,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,222.20721408699214,220.60052287185852,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,,,
VBFHbb,71.28205035333777,71.28205035333777,70.93247270180143,70.49767611071601,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,66.73802979718431,66.52688948307338,0.013628222558284284,0.011305604453147197,0.008614210686277135,0.008614210686277135,0.008614210686277135,,,
WHbb,116.35029311753367,116.35029311753367,115.70531888025883,115.43919849488618,0.03813442417107823,0.02575124418389793,0.024539736776967157,0.024539736776967157,0.024539736776967157,,,
ggZHbb,10.311005316400479,10.311005316400479,10.25139710473921,10.200185500756241,0.0029267823682215554,0.0024927547754824532,0.002177245631327304,0.002177245631327304,0.002177245631327304,,,
ttHbb,354.83801865944884,354.83801865944884,351.98243580111443,349.16857078942746,0.14709707477871403,0.047480697465049064,0.047480697465049064,0.0447596015802855,0.04218577089488706,,,
HWW,172.07437391871363,172.07437391871363,170.7911521048616,169.23726416010865,1.9417804483172045,0.4879148516176703,0.44348166908511105,0.42445132626197996,0.40478649157329505,,,
Data,1383108.0,1383108.0,,,,76.0,75.0,73.0,72.0,1383108.0,1383108.0,356.0
