,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,1.706591057896172,1.706591057896172,1.7013385194247648,1.6968562725452987,0.18354840366326253,0.1258170120751449,0.11034686690021062,0.1101704129828906,0.10969920075170336,,,
QCD,1126208.5372077704,1204990.9790546382,1200382.012896498,1196872.1266944017,108.2673451740654,16.004139090747604,15.335955679461364,15.335955679461364,15.335955679461364,,,
TT,126178.01663528237,126178.01663528237,125746.98835116654,125293.22760802964,50.44636073825197,9.193043843519389,9.193043843519389,8.115513199699215,7.430673354194692,,,
ST,11213.018738828063,11213.018738828063,11168.928717403302,11142.405760436903,4.023494085456328,1.0955139400830274,1.0955139400830274,1.0955139400830274,1.0955139400830274,,,
W+Jets,15930.077126498532,15930.077126498532,15875.910881821987,15834.447832733507,12.289780087367003,2.8652385517522037,2.7452806272669923,2.7452806272669923,2.7452806272669923,,,
Z+Jets,22772.15825578505,22772.15825578505,22683.690019930553,22627.89307859461,6.272184409145603,2.1314746119072767,2.1314746119072767,2.1314746119072767,2.1314746119072767,,,
Diboson,1008.665041486354,1008.665041486354,1005.8693429051912,1002.8762851988342,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,222.72256516683834,221.885637181582,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,,,
VBFHbb,71.28205035333777,71.28205035333777,71.09353616711309,70.92054851701442,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,66.91738349689737,66.80075080682559,0.013628222558284284,0.011305604453147197,0.008614210686277135,0.008614210686277135,0.008614210686277135,,,
WHbb,116.35029311753367,116.35029311753367,116.02018260223909,115.8886531559248,0.03813442417107823,0.02575124418389793,0.024539736776967157,0.024539736776967157,0.024539736776967157,,,
ggZHbb,10.311005316400479,10.311005316400479,10.280393102764487,10.256855442553917,0.0029565448259718323,0.0024927547754824532,0.002177245631327304,0.002177245631327304,0.002177245631327304,,,
ttHbb,354.83801865944884,354.83801865944884,353.41729440378543,352.01734089665155,0.13966945361106992,0.049683255663902554,0.049683255663902554,0.04693077244515263,0.04435694175975419,,,
HWW,172.07437391871363,172.07437391871363,171.4077847036248,170.61905764119348,1.9441531344496288,0.4856189894401369,0.44030243824183785,0.42127209541870675,0.40160726073002195,,,
Data,1383108.0,1383108.0,,,,76.0,75.0,73.0,72.0,1383108.0,1383108.0,356.0
