,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.5617368524345282,0.5607970139226898,0.5573700773903076
QCD,1126208.5372077704,1204990.9790546382,1200602.6007629426,1197348.6443478006,963807.4940357904,962218.4914664594,957982.47779008
TT,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,101312.23410597659,90377.41441300801,79853.26439953287
ST,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,9151.885931034849,8321.34136874015,7426.929736077712
W+Jets,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,13176.130441631436,13146.478662709551,13104.588662885313
Z+Jets,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,13017.869943463393,12985.611026350962,12914.66923212525
Diboson,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,587.0680898927101,557.5319556980061,523.647226299036
ggFHbb,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,73.82532993263385,73.64806912590342,73.2852955928284
VBFHbb,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,21.048785848640396,20.93471737112549,20.769600265060213
ZHbb,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,20.859058066676788,20.803330053748,20.619405874749955
WHbb,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,39.43506289899327,39.33553647106322,39.01527548269555
ggZHbb,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,4.348167895135202,4.333901804262872,4.2989039675099745
ttHbb,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,225.23463133385022,198.69058056876503,172.2719009739104
HWW,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,139.29958230013366,115.70565764944601,95.45061057128318
Data,1383108.0,1383108.0,1383108.0,1383108.0,1137620.0,1122321.0,1106195.0
