,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.7013385194247648,1.6968562725452987,0.03493054500944019,0.017464973216832966,0.017437513701838037,0.017384853066000933,,
QCD,1126208.5372077704,1204990.9790546382,1200382.012896498,1196872.1266944017,28.054246643507533,2.1282289447162337,2.1282289447162337,2.1282289447162337,,
TT,126178.01663528237,126178.01663528237,125746.98835116654,125293.22760802964,6.711647574308787,0.22283952459049777,0.22283952459049777,0.22283952459049777,,
ST,11213.018738828063,11213.018738828063,11168.928717403302,11142.405760436903,0.4852390242150444,0.0,0.0,0.0,,
W+Jets,15930.077126498532,15930.077126498532,15875.910881821987,15834.447832733507,1.7753337754403034,0.23249108906932253,0.23249108906932253,0.23249108906932253,,
Z+Jets,22772.15825578505,22772.15825578505,22683.690019930553,22627.89307859461,0.9159599339092133,0.16585144497909934,0.16585144497909934,0.16585144497909934,,
Diboson,1008.665041486354,1008.665041486354,1005.8693429051912,1002.8762851988342,0.0,0.0,0.0,0.0,,
ggFHbb,223.1087799478259,223.1087799478259,222.72256516683834,221.885637181582,0.0,0.0,0.0,0.0,,
VBFHbb,71.28205035333777,71.28205035333777,71.09353616711309,70.92054851701442,0.0,0.0,0.0,0.0,,
ZHbb,67.12062616739404,67.12062616739404,66.91738349689737,66.80075080682559,0.005364808223719335,0.0080872919920888,0.0080872919920888,0.0080872919920888,,
WHbb,116.35029311753367,116.35029311753367,116.02018260223909,115.8886531559248,0.004085057828085782,0.0012115074069307728,0.0012115074069307728,0.0012115074069307728,,
ggZHbb,10.311005316400479,10.311005316400479,10.280393102764487,10.256855442553917,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,,
ttHbb,354.83801865944884,354.83801865944884,353.41729440378543,352.01734089665155,0.013592377506338372,0.0018201593182085546,0.0018201593182085546,0.0018201593182085546,,
HWW,172.07437391871363,172.07437391871363,171.4077847036248,170.61905764119348,0.3452618821582025,0.056496531098282766,0.056496531098282766,0.056496531098282766,,
Data,1383108.0,1383108.0,,,69.0,5.0,5.0,5.0,1383108.0,1383108.0
