,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JES_up ≥ 300,VVFatJetPt_JES_up ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,4.212152831867275,1.992043000326517,1.992043000326517,1.992043000326517,1.992034811716987,1.9920101852057253,1.9920101852057253,0.6606419622864148,,
ggHH_kl_2p45_kt_1_HHbbVV,2.9745782884612515,1.5432728900245152,1.5432728900245152,1.5432728900245152,1.5432319832459014,1.5432106406984367,1.5432106406984367,0.5390915610428185,,
ggHH_kl_5_kt_1_HHbbVV,3.024267581347732,1.6992983771239942,1.6992983771239942,1.6992983771239942,1.6992034525954516,1.6991793464562255,1.6991793464562255,0.7758392254692104,,
ggHH_kl_0_kt_1_HHbbVV,5.525753766039689,2.5008088076536663,2.5008088076536663,2.5008088076536663,2.500829745386425,2.5007415809868956,2.5007415809868956,0.8380031584585076,,
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.08080083387529777,0.0471359884176165,0.0471359884176165,0.0471359884176165,0.047131599726783026,0.04712734947244911,0.04712734947244911,0.01664824713479701,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,37.59031628851101,30.684634831131394,30.684634831131394,30.684634831131394,30.68418620565703,30.684088042287225,30.684088042287225,8.188239904677058,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,63.61565564660195,51.09146910173492,51.09146910173492,51.09146910173492,51.090360846000856,51.08973432185744,51.08973432185744,13.745603626078601,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0755132861969917,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.049119442831651705,0.049119442831651705,0.0238971963465887,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,33.59757114342516,28.05713425984107,28.05713425984107,28.05713425984107,28.05679731928013,28.05660524760776,28.05660524760776,7.4743734456321125,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.21899698228055675,0.11904051829601674,0.11904051829601674,0.11904051829601674,0.11903925021925821,0.11903925021925821,0.11903925021925821,0.036623017258803875,,
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,20.109831451322012,16.609688285231236,16.609688285231236,16.609688285231236,16.60945938239143,16.60939764837576,16.60939764837576,4.466194402843999,,
QCD,3052764.194451403,1301832.896386517,1396522.353647176,1396522.353647176,1396485.7691821693,1396464.2527421964,1396464.2527421964,1123712.4607558665,,
TT,217539.42041251797,122304.088162081,122304.088162081,122304.088162081,122300.23442694944,122296.17163910471,122296.17163910471,98968.67459942937,,
ST,15175.476848651859,9009.706988812268,9009.706988812268,9009.706988812268,9009.013803886715,9008.678324931805,9008.678324931805,7392.020322385938,,
V+Jets,85869.75128605982,45001.54838412287,45001.54838412287,45001.54838412287,44999.931183584864,44999.012375603015,44999.012375603015,30669.02583289958,,
Diboson,1365.2537297679432,749.3028178092068,749.3028178092068,749.3028178092068,749.2874364598673,749.2874364598673,749.2874364598673,441.1027772616945,,
Data,1573587.0,1573587.0,1573587.0,1573587.0,,,1573587.0,1294132.0,1573587.0,1573587.0
