,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JES_up ≥ 300,VVFatJetPt_JES_up ≥ 300,BDTScore_JES_up ≥ 0.998,bbFatJetParticleNetMD_Txbb ≥ 0.9734,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.998
HHbbVV,4.212152831867275,1.992043000326517,1.992043000326517,1.992043000326517,1.992034811716987,1.9920101852057253,0.16352454004531009,0.11240859848502989,,,
ggHH_kl_2p45_kt_1_HHbbVV,2.9745782884612515,1.5432728900245152,1.5432728900245152,1.5432728900245152,1.5432319832459014,1.5432106406984367,0.12229390746281892,0.0838145410636931,,,
ggHH_kl_5_kt_1_HHbbVV,3.024267581347732,1.6992983771239942,1.6992983771239942,1.6992983771239942,1.6992034525954516,1.6991793464562255,0.09420829518247599,0.06330320888820401,,,
ggHH_kl_0_kt_1_HHbbVV,5.525753766039689,2.5008088076536663,2.5008088076536663,2.5008088076536663,2.500829745386425,2.5007415809868956,0.1944363193015013,0.13156192555133456,,,
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.08080083387529777,0.0471359884176165,0.0471359884176165,0.0471359884176165,0.047131599726783026,0.04712734947244911,0.0027855331283749753,0.0019124864213660158,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,37.59031628851101,30.684634831131394,30.684634831131394,30.684634831131394,30.68418620565703,30.684088042287225,3.259201441235934,2.477692877605617,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,63.61565564660195,51.09146910173492,51.09146910173492,51.09146910173492,51.090360846000856,51.08973432185744,5.381399233434354,4.0881747807494975,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0755132861969917,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.049119442831651705,0.0018031976282150697,0.00127893172935213,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,33.59757114342516,28.05713425984107,28.05713425984107,28.05713425984107,28.05679731928013,28.05660524760776,2.9962172394067546,2.2775049625641923,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.21899698228055675,0.11904051829601674,0.11904051829601674,0.11904051829601674,0.11903925021925821,0.11903925021925821,0.01019016717670322,0.007499554795903588,,,
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,20.109831451322012,16.609688285231236,16.609688285231236,16.609688285231236,16.60945938239143,16.60939764837576,1.7676096340677971,1.340086144420007,,,
QCD,3052764.194451403,1301832.896386517,1396522.353647176,1396522.353647176,1396485.7691821693,1396464.2527421964,51.800249143363686,14.248551297313401,,,
TT,217539.42041251797,122304.088162081,122304.088162081,122304.088162081,122300.23442694944,122296.17163910471,27.627054392193045,5.500239649758114,,,
ST,15175.476848651859,9009.706988812268,9009.706988812268,9009.706988812268,9009.013803886715,9008.678324931805,2.6154260332941215,0.6325694959034351,,,
V+Jets,85869.75128605982,45001.54838412287,45001.54838412287,45001.54838412287,44999.931183584864,44999.012375603015,13.248089555608294,4.171456798982455,,,
Diboson,1365.2537297679432,749.3028178092068,749.3028178092068,749.3028178092068,749.2874364598673,749.2874364598673,0.0,0.0,,,
Data,1573587.0,1573587.0,1573587.0,1573587.0,,,,41.0,1573587.0,1573587.0,202.0
