,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48831200738251,40.438563175635224,40.43559010300879,32.09014051514766,11.212594787286758,5.222024301936786,5.210800510651502,5.189207777104727,,,
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,220021.74371892723,202504.8494622628,195916.50147298165,195638.22968158533,194696.13997660344,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,24847.474028525805,23307.71549584426,22143.74231509935,18954.708975094807,17041.305977168075,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,2251.8907592038668,2114.699781121376,1984.039742245083,1759.0275416368543,1595.9512159893345,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,1999.9548147452015,1882.705761112358,1726.416660710868,1721.9042919393587,1714.950600997588,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,3147.3589883690634,2623.8562240866254,2505.316866639308,2498.7229310144144,2483.306527603693,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,81.08324120880312,64.38863154895324,62.879474521459436,57.60979989992397,52.4212508097786,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,139.1228547148403,67.42748099329184,65.40107241513138,65.25699716035459,64.79007063952636,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,48.68547041539878,21.529880770919732,20.763389853594013,20.650950108748646,20.45008373351197,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,38.157870805867816,17.7692813890999,16.758923828094744,16.719258241203672,16.57417217785858,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,74.51988816026238,36.22868492719216,33.40814042597825,33.33785584042191,33.12055864914158,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,4.57938151684929,2.44730313370313,2.3436579099346697,2.336113582097095,2.3181064403447866,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,101.69756970294354,68.90851630022838,65.75031397091249,56.59872088597486,48.94404009199432,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,31.52648237756147,29.725691461754778,26.25480366174952,21.080442005949614,17.50697593872508,,,
Data,1383108.0,1383108.0,,,,250856.0,232894.0,220934.0,216868.0,213893.0,1270702.0,1193818.0,1182302.0
