,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.473150080174825,40.408783740514195,40.40348122707436,6.284810411659596,3.4397172681970227,1.932206420070834,1.9309568957907783,1.9241980199801372,,,
QCD,1126208.5372077702,1204990.9790546389,1082791.3045432647,1010534.5328699123,975982.5535852,214264.20728064416,17104.51689950603,453.91217057576733,453.91217057576733,453.2944138765034,,,
TT,126178.01663528233,126178.01663528233,114490.2353863148,103920.30786860189,101851.71702963293,23642.59444341212,1475.9106111580568,67.71929354331945,61.45396251562929,59.9072055350568,,,
ST,11213.018738828068,11213.018738828068,10063.814690293584,9333.881158662574,9169.602529867114,2108.6221430606315,124.29286665052177,8.956731449949658,8.737632274183731,8.1145929704025,,,
W+Jets,15930.077126498532,15930.077126498532,14691.806727684198,13777.267658173338,13457.90702673858,2567.0477376354734,186.10483324776715,13.624863460785706,13.624863460785706,13.624863460785706,,,
Z+Jets,22772.15825578505,22772.15825578505,20633.98475649249,19387.760471367154,18906.89524950993,7270.795285380209,2487.9628805365737,96.5005226254085,96.5005226254085,96.38662315731281,,,
Diboson,1008.6650414863541,1008.6650414863541,928.2792348935631,882.3386302772958,863.6551975055806,296.7496300340882,105.16789536128601,6.233296181562136,6.233296181562136,5.731087102158003,,,
ggFHbb,223.1087799478259,223.1087799478259,206.96121335168272,188.11216062010658,182.14359517046486,33.157980017322174,13.23397964543196,0.3781491555821225,0.3781491555821225,0.3781491555821225,,,
VBFHbb,71.28205035333777,71.28205035333777,66.22831484205756,62.021356057605445,60.603962583813285,9.514573982268912,4.422668415930223,0.17974136503036098,0.17974136503036098,0.17974136503036098,,,
ZHbb,67.12062616739404,67.12062616739404,61.675631496288744,59.011833939231224,57.48892061830066,12.330995078263339,5.947352430563667,0.21890173325747245,0.21890173325747245,0.21890173325747245,,,
WHbb,116.35029311753367,116.35029311753367,106.66396487768547,102.92776097108307,100.33370527348852,17.427491583820327,6.966423287901942,0.5877519826885368,0.5877519826885368,0.5858029979548267,,,
ggZHbb,10.311005316400477,10.311005316400477,9.381778754562763,8.77298922770347,8.603830059714706,1.9630668487016765,0.6958996406616337,0.02332667107621193,0.02332667107621193,0.023038113444311715,,,
ttHbb,354.83801865944884,354.83801865944884,319.26690607262464,288.7889140300193,285.10020418113174,59.56759335196002,9.752012804319083,0.4408587337211255,0.40829883448763715,0.3641371403506316,,,
HWW,172.07437391871366,172.07437391871366,155.5646345789582,137.67677353842413,135.75568599415618,31.381554743961956,2.7127894445468366,0.6962111061447345,0.6728449014721545,0.6357069593184823,,,
Data,1383108.0,1383108.0,,,,257195.0,19335.0,975.0,965.0,954.0,1270702.0,1193818.0,1182302.0
