,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.473150080174825,40.408783740514195,40.40348122707436,32.069725891820504,20.870931193555982,11.742343693792357,11.73344163049152,11.70450276820815,,,
QCD,1126208.5372077702,1204990.9790546389,1082791.3045432647,1010534.5328699123,975982.5535852,212998.87650562174,16959.821528202006,581.4894274548994,581.4894274548994,571.9243225345841,,,
TT,126178.01663528233,126178.01663528233,114490.2353863148,103920.30786860189,101851.71702963293,23846.557193590572,1486.7273906951846,62.372497208158585,57.13417113480293,54.423363827432254,,,
ST,11213.018738828068,11213.018738828068,10063.814690293584,9333.881158662574,9169.602529867114,2174.4365569326224,134.33468503695346,8.740961024857365,8.071341734050725,7.466251669153837,,,
W+Jets,15930.077126498532,15930.077126498532,14691.806727684198,13777.267658173338,13457.90702673858,1943.374668195036,113.85265525705366,11.340288627777653,11.16416641645505,10.98992721416635,,,
Z+Jets,22772.15825578505,22772.15825578505,20633.98475649249,19387.760471367154,18906.89524950993,3046.005757682856,507.59813838914465,20.441237678822958,20.441237678822958,20.441237678822958,,,
Diboson,1008.6650414863541,1008.6650414863541,928.2792348935631,882.3386302772958,863.6551975055806,78.3128451781632,16.32525121874347,0.3455932721345744,0.3455932721345744,0.3455932721345744,,,
ggFHbb,223.1087799478259,223.1087799478259,206.96121335168272,188.11216062010658,182.14359517046486,134.6461412211791,69.33037265392416,2.0957650630477174,2.0957650630477174,2.0610701821043578,,,
VBFHbb,71.28205035333777,71.28205035333777,66.22831484205756,62.021356057605445,60.603962583813285,47.162132235396555,26.41882350891064,0.9943920784222061,0.9943920784222061,0.9943920784222061,,,
ZHbb,67.12062616739404,67.12062616739404,61.675631496288744,59.011833939231224,57.48892061830066,37.2333449243268,19.919704195871603,1.2402415467291608,1.2402415467291608,1.2346686588602602,,,
WHbb,116.35029311753367,116.35029311753367,106.66396487768547,102.92776097108307,100.33370527348852,72.68688770602381,37.47909641036479,3.236579969284673,3.231860911280522,3.2247634163655614,,,
ggZHbb,10.311005316400477,10.311005316400477,9.381778754562763,8.77298922770347,8.603830059714706,4.4462326622049915,2.0745856016698827,0.10269293158555604,0.10269293158555604,0.10269293158555604,,,
ttHbb,354.83801865944884,354.83801865944884,319.26690607262464,288.7889140300193,285.10020418113174,98.21885131029026,31.881691730391417,1.4365407872886795,1.2833921613465509,1.1383179676914232,,,
HWW,172.07437391871366,172.07437391871366,155.5646345789582,137.67677353842413,135.75568599415618,30.12165992813925,1.7304610359814998,0.2485643889997054,0.2103264679070631,0.16734666232437131,,,
Data,1383108.0,1383108.0,,,,250856.0,17962.0,1008.0,996.0,986.0,1270702.0,1193818.0,1182302.0
