,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_down < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.765138643110941,3.1020909936591683,1.743458876285331,1.7420828030792368,1.7359590778089509,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,218976.75588641447,17479.11899895262,513.756844221137,513.756844221137,508.005396633872,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,23798.796623050577,1490.3628227151592,66.94258185146343,59.98039713392325,58.08797350133605,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2132.182226956314,125.99056272392355,8.973008431257973,8.753909255492047,8.130869951710812,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2564.979263105576,185.19605379129843,14.347393469910246,14.347393469910246,14.347393469910246,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7579.3226068961085,2599.235215657598,100.0781803606022,100.0781803606022,99.89173844724093,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,307.6438909631122,113.43425371286762,6.260362389827925,6.260362389827925,5.904268268818035,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,30.916021526238445,12.065666507526519,0.32362089218293155,0.32362089218293155,0.32362089218293155,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,8.887392620531024,3.9545501758835284,0.220120444600143,0.220120444600143,0.220120444600143,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.186979304507695,5.8468232259959,0.21316218205789914,0.21316218205789914,0.21316218205789914,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,16.610783960731748,6.495844728285208,0.5727627437647604,0.5727627437647604,0.5692643298969235,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9384619017276712,0.6815119588291201,0.02149866415514437,0.02149866415514437,0.021210106523244152,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,59.7031734393257,9.292504618194487,0.4178655821159951,0.3817706539206822,0.34574667313536334,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,32.334490170000706,2.832463258183488,0.7156661191582026,0.6901503856692507,0.6530124435155786,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,19335.0,975.0,965.0,954.0,257195.0
