,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_down < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,32.06730524169402,11.20310505754172,5.214470781976262,5.203105005997592,5.181657468159679,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,216977.22694072413,199678.20122736617,193202.88565838,192934.32279886614,192017.0996373746,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24464.597150005156,22946.553598153678,21798.896112084436,18666.292986845227,16794.934234044864,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2220.2728706654825,2083.979010648629,1954.7387254380787,1732.6629956778893,1572.1948981455726,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,1977.354317402953,1861.7069423338241,1706.3257029239514,1701.8463639146014,1694.9231102584608,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3094.1108401251226,2582.555806978957,2466.5986459194714,2460.1538747308305,2445.3157119459092,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,79.7201819642386,63.36720468000699,62.13860274030366,56.957200110188246,51.768651020042874,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,137.36003379948124,66.66662820823461,64.64983762874317,64.50576237396636,64.03883585313812,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,48.013311639180685,21.231736318433676,20.465245401107957,20.357105935088015,20.156239559851336,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,37.82749709048286,17.628610352717793,16.621030275794034,16.581364688902966,16.43720884131912,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,73.83964349860298,35.82861620233388,33.026271753389985,32.95780453178921,32.743509695129724,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.527263740346642,2.4156606826496234,2.313215955129517,2.3057635457221894,2.2882868639884437,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,100.35408851908932,67.94812104821902,64.8310081283174,55.835204703657894,48.30358153165717,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,30.83907148420772,29.062850814000683,25.661424822119592,20.611406952113793,17.1309155132819,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,232894.0,220934.0,216868.0,213893.0,250856.0
