,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48299599979646,40.42663543354845,40.42306662682575,6.29026250764078,2.849257654118826,1.34794605420426,1.3461567399101297,1.335882452145143,,,
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,218313.96758597778,200849.60890428312,194446.73124406618,194098.58460535647,193184.01076989295,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,24081.026452008227,22581.76734781389,21470.53235922462,18821.37835356318,16922.92430575604,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,2149.1347500753122,2023.161981511851,1896.9598374805578,1707.0550604388122,1546.6513594600012,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,2611.9248737790663,2423.2714756028818,2251.14295867623,2244.919601617634,2237.8992495319126,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,7390.681396263135,4865.188069488519,4663.09355011176,4651.306223903859,4627.2686771565795,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,302.3848688354907,195.52905498254128,180.70997256022528,173.23190976825467,165.7775540882568,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,33.68039269267501,20.20066385087562,19.507788731065936,19.405351757962872,19.27644340012842,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,9.628580340037427,5.165076447843567,5.008778384024201,4.986401195768285,4.937935699787184,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,12.552268679811759,6.51229574864417,6.26172493414255,6.2525635955432355,6.193752904865756,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,17.751012592741414,10.675526155456659,9.91214096545707,9.879508045588608,9.790702286855957,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,1.9950297011780882,1.2851031835661548,1.2453986848009362,1.2396671103461145,1.2289130223847429,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,60.63337265926759,50.71737842150713,48.47301664424154,42.435431383760104,37.08507451634834,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,31.915045551773765,29.155489561762394,25.070152145858323,20.20773524408516,16.639501211964593,,,
Data,1383108.0,1383108.0,,,,257195.0,237860.0,225791.0,222256.0,219160.0,1270702.0,1193818.0,1182302.0
