,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48122773026381,40.425136401099984,40.42177334133724,32.08096273897509,11.206396231439403,5.2163044051855,5.205080613900217,5.183753290971117,,,
QCD,1126208.5372077702,1204990.9790546389,1091686.2767067247,1023988.7977089484,994468.4629464046,216975.36913063805,199701.96260106727,193194.19832501444,192922.05314272974,192004.82938656214,,,
TT,126178.01663528233,126178.01663528233,115273.36186126171,105326.70861191051,103602.56899115718,24419.03908611498,22902.53552754737,21756.77448828039,18622.38736380821,16752.61898799271,,,
ST,11213.018738828068,11213.018738828068,10142.455724780455,9458.133006199738,9322.638614477924,2218.2258374935345,2082.290170690646,1953.4249634208227,1731.384283832342,1570.8486845805428,,,
W+Jets,15930.077126498532,15930.077126498532,14783.19186296935,13931.043934545101,13664.959972341398,1976.9990088698264,1861.0705498003886,1706.25940765684,1701.7800686474905,1694.85681499135,,,
Z+Jets,22772.15825578505,22772.15825578505,20802.972335464023,19632.050664188246,19227.04958843867,3103.6001323760747,2586.113182952621,2469.442665045461,2462.9978938568206,2448.0796427088208,,,
Diboson,1008.6650414863541,1008.6650414863541,936.4402865398723,893.2616454536287,876.8503007563286,79.9949628619095,63.378721670437756,62.15011973073443,56.96871710061902,51.780168010473645,,,
ggFHbb,223.1087799478259,223.1087799478259,208.30195403751515,190.49653420734825,185.54171233559265,137.35978012155482,66.68358098079085,64.66206038174266,64.5179851269659,64.05105860613764,,,
VBFHbb,71.28205035333777,71.28205035333777,66.61287465011183,62.84198870650114,61.685130797987306,47.97610122839465,21.221412468283475,20.454921550957756,20.346782084937814,20.145915709701136,,,
ZHbb,67.12062616739404,67.12062616739404,62.11539479001107,59.65733937566006,58.377605837385396,37.77557501856163,17.586398374442833,16.581402599553194,16.541737012662125,16.39758116507828,,,
WHbb,116.35029311753367,116.35029311753367,107.49712890863049,103.98776396880199,101.82282820093816,73.73623017479753,35.77955060284229,32.98535989150126,32.91689266990048,32.70278584882339,,,
ggZHbb,10.311005316400477,10.311005316400477,9.447615984178295,8.874781762097546,8.729540016747084,4.520164271528751,2.4120562102446637,2.3094782583511395,2.302025848943812,2.2848925829406697,,,
ttHbb,354.83801865944884,354.83801865944884,321.3836060749171,292.643026654335,289.53986342140485,100.15816314135623,67.77296474341703,64.65912655846505,55.65381799262899,48.14358624074727,,,
HWW,172.07437391871366,172.07437391871366,156.48847906642104,139.66369434781421,138.04955422749703,30.8873782355882,29.123157668827734,25.711171763043964,20.666696840220457,17.174949473381574,,,
Data,1383108.0,1383108.0,,,,250856.0,232894.0,220934.0,216868.0,213893.0,1270702.0,1193818.0,1182302.0
