,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_up < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,28.852500403670668,18.716693484607617,10.530852267581912,10.522789806478492,10.496705885707183,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,215383.1930985347,17360.436226775946,559.8000690645658,559.8000690645658,550.2349641442505,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24816.737550769052,1553.6453065884418,63.791309008224516,58.63400156563099,56.41159130264612,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2241.3992365213558,137.27169014036525,8.28846271908651,7.666751379888726,7.113415760188453,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2010.5880190527535,117.1243693397071,11.038336334045578,10.862214122722975,10.687974920434275,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3431.712160768053,664.6712918078886,26.383735637187414,26.383735637187414,26.269836169091732,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,98.05637628209149,26.25375963872144,1.218602658254558,1.218602658254558,1.218602658254558,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,123.11174487595765,63.057657783105554,1.93302608285699,1.93302608285699,1.8983312019136303,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,43.24914902768934,24.26692061028899,0.8558768337755989,0.8558768337755989,0.8558768337755989,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,34.50568064419681,18.253612228623616,1.071988838706319,1.071988838706319,1.0664159508374185,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,66.67836489972552,34.068168266667115,2.924165498943688,2.919446440939537,2.912348946024576,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.181706152303857,1.9193849231941698,0.09364157700477144,0.09364157700477144,0.09364157700477144,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,96.16192021696776,29.777569518235822,1.2565504716707165,1.1308839828144022,1.00713107588724,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,31.357721827757988,1.826052023415601,0.2919887998405379,0.2559963383553938,0.21009622579314607,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,17962.0,1008.0,996.0,986.0,250856.0
