,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48122773026381,40.425136401099984,40.42177334133724,32.08096273897509,20.874566507535683,11.742848761112853,11.733946697812016,11.705007835528646,,,
QCD,1126208.5372077702,1204990.9790546389,1091686.2767067247,1023988.7977089484,994468.4629464046,216975.36913063805,17273.40652957078,586.6290206098511,586.6290206098511,577.0639156895356,,,
TT,126178.01663528233,126178.01663528233,115273.36186126171,105326.70861191051,103602.56899115718,24419.03908611498,1516.5035585676187,62.94662378981164,57.68983503699877,54.97902772962808,,,
ST,11213.018738828068,11213.018738828068,10142.455724780455,9458.133006199738,9322.638614477924,2218.2258374935345,135.93566680288865,8.76209608480174,8.0924767939951,7.487386729098214,,,
W+Jets,15930.077126498532,15930.077126498532,14783.19186296935,13931.043934545101,13664.959972341398,1976.9990088698264,115.92845906943768,11.72265058334958,11.546528372026978,11.372289169738279,,,
Z+Jets,22772.15825578505,22772.15825578505,20802.972335464023,19632.050664188246,19227.04958843867,3103.6001323760747,517.4869494234531,20.669326836919065,20.669326836919065,20.669326836919065,,,
Diboson,1008.6650414863541,1008.6650414863541,936.4402865398723,893.2616454536287,876.8503007563286,79.9949628619095,16.616241191471737,0.3455932721345744,0.3455932721345744,0.3455932721345744,,,
ggFHbb,223.1087799478259,223.1087799478259,208.30195403751515,190.49653420734825,185.54171233559265,137.35978012155482,70.67619914076398,2.1092934686929494,2.1092934686929494,2.0745985877495903,,,
VBFHbb,71.28205035333777,71.28205035333777,66.61287465011183,62.84198870650114,61.685130797987306,47.97610122839465,26.75468876011117,1.0029359152332964,1.0029359152332964,1.0029359152332964,,,
ZHbb,67.12062616739404,67.12062616739404,62.11539479001107,59.65733937566006,58.377605837385396,37.77557501856163,20.189176644118795,1.2523188642759373,1.2523188642759373,1.2467459764070365,,,
WHbb,116.35029311753367,116.35029311753367,107.49712890863049,103.98776396880199,101.82282820093816,73.73623017479753,37.95667957195524,3.269961837915083,3.2652427799109316,3.2581452849959707,,,
ggZHbb,10.311005316400477,10.311005316400477,9.447615984178295,8.874781762097546,8.729540016747084,4.520164271528751,2.1081080612840872,0.10382787126366641,0.10382787126366641,0.10382787126366641,,,
ttHbb,354.83801865944884,354.83801865944884,321.3836060749171,292.643026654335,289.53986342140485,100.15816314135623,32.38519839793918,1.4595673588004736,1.3031152467608527,1.157479309329772,,,
HWW,172.07437391871366,172.07437391871366,156.48847906642104,139.66369434781421,138.04955422749703,30.8873782355882,1.7642205667604665,0.2550862650851017,0.21619960513916608,0.1732197995564743,,,
Data,1383108.0,1383108.0,,,,250856.0,17962.0,1008.0,996.0,986.0,1270702.0,1193818.0,1182302.0
