,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_up < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,6.257645331503476,3.426057547878393,1.9241965772232523,1.9229827132507404,1.9160759302259096,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,219274.8308174086,17593.624365454278,484.3444979448594,484.3444979448594,483.7267412455956,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,23614.03981983392,1477.3226909542598,67.68179618259,61.34982469536433,59.63132650411481,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2132.878528061639,128.92740461732933,9.332100319986045,9.113001144220119,8.489961840438886,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2701.3286279174936,196.60811064346058,14.529092518294902,14.529092518294902,14.529092518294902,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7577.665775105096,2611.819526010133,101.53042412925024,101.53042412925024,101.41652466115457,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,310.4376283664112,112.03135126963268,6.411742306712144,6.411742306712144,5.90953322730801,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,33.95148156662121,13.862781740070007,0.3624768248905349,0.3624768248905349,0.3624768248905349,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,9.834647752553446,4.44314648951673,0.15459591498415776,0.15459591498415776,0.15459591498415776,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.935370207308884,6.293067536836726,0.22627253793612362,0.22627253793612362,0.22627253793612362,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,18.20600565129409,7.382381958826954,0.5986499367345706,0.5986499367345706,0.5967009520008605,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,2.0525777491558683,0.7410059398253922,0.024742583868573965,0.024742583868573965,0.02445402623667375,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,60.136312006933345,9.941448562576838,0.44715033672619897,0.4060840342869769,0.36300469792309187,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,31.6944673984945,2.8647921047799887,0.7629441431003191,0.7295485963227323,0.6914723239284194,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,19335.0,975.0,965.0,954.0,257195.0
