,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6757548522012857,1.6755174017437258,0.5453205807422401,0.5443570805477825,0.5410141816523774,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2646782303040833,1.264572593981776,0.42943474393445413,0.42874746887916504,0.4259265685387468,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3324796079223353,1.3322927686557362,0.5945574437202295,0.593513972290769,0.5893512237269416,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.14574120877309,2.1453802117397194,0.7086437530127986,0.7072311075281533,0.7023675285921477,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03401878632576567,0.034014078043477246,0.011569942524001346,0.011516549969529388,0.011417116662592222,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.760097256521927,20.759327537372858,5.509500809689827,5.496718102041711,5.458602797319272,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.78501103778664,34.783889362401446,9.26505878235784,9.242554244612325,9.18183044994818,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.03499348154814317,0.034986891371333685,0.01676807342779917,0.016707966488581902,0.016587037582538672,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.899812612265276,18.89899725944025,4.975089285382166,4.96349845183687,4.930465498432414,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08889022380899324,0.08886420846200346,0.027469061814808984,0.027398314575583123,0.027265693551041584,,
QCD,1117757.9198795073,1146810.7163518853,1146810.7163518853,1146545.8889580548,1146396.0874823101,911952.5563523556,910388.8810477058,905900.2124127472,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114706.15876300249,114683.14121694586,92064.26986695254,81832.64188026918,71923.03084950527,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9989.024577587452,9987.966441260009,8077.067836052221,7291.864594898684,6512.873964251247,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14707.90486347219,14705.855078584122,12167.583145845365,12134.972713672443,12087.78507839398,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21592.713993914025,21589.977951000445,12090.38444285076,12061.014571650543,11981.769739765765,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,935.6242769877188,935.6242769877188,536.3427360662185,508.1342383660442,477.1486013740272,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.5170485658804,224.45546900141025,71.3360323265263,71.19409592833573,70.60504328114769,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.27546093253595,66.27338743540412,20.02992078863908,19.950781968512434,19.7686654445045,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.45579974544757,63.45287399754096,19.18119480581775,19.133503672862055,18.943303376435964,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.84087638332325,108.83414264832638,36.69465197340918,36.613903830068026,36.34905010838679,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.505625210234324,9.504521809114898,3.835872469480269,3.822073438405101,3.7851766972409067,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,312.18019451465693,312.12908216023584,197.53444178140774,173.63546615706994,150.02450951464732,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.68815304215195,150.65286062054875,121.5411309994142,100.3302887677368,82.22675286239405,,
Data,1309711.0,1309711.0,1309711.0,,,1062010.0,1048435.0,1033485.0,1309711.0,1309711.0
