,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6709099393660427,1.6672443971869404,0.13484432516288136,0.09441920495553494,0.09425844870994686,0.09379372393536478,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2615043790201776,1.2594839199156975,0.09962786479503061,0.06881276939344469,0.06870896437303195,0.06840159666521614,,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3287072451979367,1.3262024089084452,0.07215630603779098,0.04891759394112972,0.04881776362611726,0.048522122908045764,,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1395602785254177,2.135088538056755,0.16709304554617446,0.11521117045569847,0.11494417103988198,0.11424047060091627,,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392066619570052,0.03385693686252096,0.0018738153520526952,0.0013935152327038125,0.0013877058738455419,0.001383017658152208,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.73936620680514,20.725053995083915,2.1577061384804432,1.6386886413246335,1.635852425527215,1.6303239395867546,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.745830024675186,34.72232429758777,3.621694905057594,2.772232317539444,2.767331631397673,2.7569405439381307,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.03487892569553672,0.034818203039090424,0.001129113643563908,0.0007865036159983551,0.000786362220710508,0.0007777322502621855,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.881339862897445,18.870516294954562,2.013731178870473,1.5341092312686655,1.5317092587841121,1.5256216222040802,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08865461665925986,0.08847362914093906,0.007086903369007979,0.00514523797181486,0.005131617901269191,0.005103735356532446,,,
QCD,1117757.9198795073,1146810.7163518853,1146810.7163518853,1142943.5336606065,1140253.6797331353,81.99291718155675,11.743785163150324,11.743785163150324,11.743785163150324,,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114437.97026728191,114132.08746619607,21.17395011664184,3.6646210762117764,3.2530862025488374,3.241822064459019,,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9961.00046905086,9938.240034904185,2.5161891043576823,0.6894987125411937,0.6894987125411937,0.6894987125411937,,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14670.386968672208,14643.532361751837,6.07373094091977,1.2144252967096187,1.2144252967096187,1.2144252967096187,,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21527.43054513457,21486.385080340002,4.431437488823465,2.1482291128058835,2.1482291128058835,2.1482291128058835,,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.1843657435936,930.3708375626252,0.28001420954562,0.0,0.0,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.0890706789042,223.6905964784125,0.0,0.0,0.0,0.0,,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.158353933224,66.05208234932266,0.0,0.0,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.28863350654419,63.18969796746182,0.019165071246600798,0.011562703181241899,0.011562703181241899,0.011562703181241899,,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.59950330312063,108.482473694838,0.027202319629171433,0.021119592770571443,0.021119592770571443,0.021119592770571443,,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.48581603967797,9.468074681719918,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.30158920167617,310.42204762583594,0.09223873017543509,0.036958633172860515,0.036958633172860515,0.036958633172860515,,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.30305058855018,149.8340750587529,1.2425862757761008,0.3751384708189546,0.3739167328633408,0.3567020917930547,,,
Data,1309711.0,1309711.0,1309711.0,,,,42.0,41.0,39.0,1309711.0,1309711.0,197.0
