,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.12999875853496196,0.08910847289316919,0.08897554582941616,0.08852866021367636,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.09815082097796436,0.06694758728632094,0.0668881161856803,0.06663627461727019,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.07626875547885421,0.05251401619717255,0.05239154841177196,0.052217287899220026,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.1573897143244082,0.10606634848884522,0.10587082210460944,0.1054259313954855,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0021705254955707185,0.0014706202647004007,0.0014706202647004007,0.001467663629417938,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,2.4522202788992997,1.8610085854865017,1.8585374747741954,1.8527152988108289,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,4.0593196599440695,3.0744973363830486,3.069091346712213,3.057039662894242,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.001391066196032811,0.0009779721326595777,0.0009748876770975738,0.0009737900072983481,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,2.250386415396167,1.7082353686548648,1.704720843630274,1.6987893450790286,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.007951198929017826,0.005838816106626957,0.005825605347090925,0.005793413572043,
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200602.6007629426,1197348.6443478006,71.5168168685284,20.28879424472634,20.28879424472634,20.28879424472634,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,32.24743629016535,6.043738240234653,5.137818535204192,4.807525891739384,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,3.1734133249631213,0.5642045855619227,0.5642045855619227,0.5642045855619227,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,6.898439020525641,1.984202133581194,1.984202133581194,1.984202133581194,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,3.2451338037254382,1.4793074066906844,1.4793074066906844,1.4793074066906844,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.003569295632512806,0.00387733279537056,0.00387733279537056,0.00387733279537056,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.025971773118276406,0.018631030205795377,0.018631030205795377,0.018631030205795377,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.002612244006782332,0.0021782164140432304,0.0021782164140432304,0.0021782164140432304,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.10052552965458772,0.03912001674346523,0.032065571692338146,0.030087499556830016,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,1.4010590456908698,0.34274664571681135,0.33547752379114987,0.32239339088199637,
Data,1383108.0,1383108.0,1383108.0,1383108.0,1383108.0,,38.0,36.0,35.0,213.0
