,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_down < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147270.85340777115,11222.227706567828,295.164633011143,295.164633011143,295.164633011143,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11521.875898040082,812.6569482115343,34.201413168628534,31.104137937014304,29.584712825087053,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1020.344194875312,60.536875804770254,3.1830161991844035,3.1830161991844035,2.510812457188012,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1184.2833293865474,71.9615216034793,5.930523975566299,5.930523975566299,5.930523975566299,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1623.8936237550686,289.96194894645134,9.893014582438301,9.893014582438301,9.893014582438301,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,45.354722126953725,10.775070151165165,0.48616688795535856,0.48616688795535856,0.48616688795535856,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,60.3285780966131,31.160691584523256,0.5274405805266331,0.5274405805266331,0.5274405805266331,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.33838802206357,11.066442071317109,0.3077832783774024,0.3077832783774024,0.3077832783774024,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,15.783303531105133,8.536098215989465,0.47423360497471495,0.47292559656214317,0.47292559656214317,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,30.774866135328956,15.92142422013715,1.1838045081236752,1.182787001085642,1.1763289406204904,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.003783437076552,0.9768829018814026,0.03591206957424323,0.03591206957424323,0.03561582002951417,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,42.63493705671593,13.715554245574914,0.5722793054253403,0.5247635518419402,0.4763297387334281,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.809798799378614,1.0596077877407568,0.1545705621979373,0.1399490176981857,0.13185496723185391,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,10155.0,514.0,509.0,509.0,146205.0
