,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,909928.9429965606,785236.0652000139,679205.6226592734,147551.7844428238,11332.069750104587,356.4376984611937,356.4376984611937,356.4376984611937,,,
TT,76537.02908224257,76537.02908224257,62557.36315546046,53000.20343567669,48474.764998012986,11492.33155783179,809.5770412252514,34.21858434177939,31.01643290972312,29.497007797795874,,,
ST,6617.229257123121,6617.229257123121,5335.947878225384,4671.093017370051,4316.329167356108,1017.9835318536935,61.250081323715385,3.356377380773341,3.356377380773341,2.6841736387769504,,,
W+Jets,12421.273275458932,12421.273275458932,10085.632255578521,8872.840668642282,8000.8098146950315,1185.8071308458264,72.98580387903831,6.097254868786952,6.097254868786952,6.097254868786952,,,
Z+Jets,14717.02364266734,14717.02364266734,11607.577832738309,10264.437247619908,9237.457278939428,1636.9159217657323,295.8953197062133,10.072153141805211,10.072153141805211,10.072153141805211,,,
Diboson,703.6912877316817,703.6912877316817,561.935848304568,505.49172874834346,459.1384749004718,46.21216288148655,10.905214857119752,0.48616688795535856,0.48616688795535856,0.48616688795535856,,,
ggFHbb,138.81856362723408,138.81856362723408,112.79813188249241,94.68291189158188,82.8868055056263,60.11475735441073,30.980321300160714,0.5274405805266331,0.5274405805266331,0.5274405805266331,,,
VBFHbb,40.60062332311162,40.60062332311162,33.71831610558429,29.970272986083934,27.44394612122658,20.226584191161667,10.988096727416647,0.3077832783774024,0.3077832783774024,0.3077832783774024,,,
ZHbb,38.56092725636813,38.56092725636813,31.207671731688173,28.323667474001752,25.372757979720827,15.754360222326703,8.521065628991213,0.47514770364917325,0.4738396952366015,0.4738396952366015,,,
WHbb,66.232275837835,66.232275837835,53.23241685245674,49.03526487505052,43.95718730461949,30.64950280859759,15.840151077629807,1.1788016459100046,1.1777841388719716,1.1713260784068198,,,
ggZHbb,5.921431593700421,5.921431593700421,4.832810364534362,4.242572613666432,3.8970104086368287,1.9990916142473552,0.9773908222912024,0.03649044287455592,0.03649044287455592,0.036194193329826846,,,
ttHbb,187.9810602386041,187.9810602386041,157.13026669900506,134.917050892509,126.98431520212135,42.45719217174663,13.675622723989655,0.5691853467952205,0.5216695932118205,0.47593114389162194,,,
HWW,97.55810924622654,97.55810924622654,81.60624241757364,68.68589895431575,64.49322604480872,14.85697468614639,1.0696967116221643,0.15024399289779589,0.13562244839804438,0.1275283979317125,,,
Data,1331012.0,1331012.0,,,,146205.0,10155.0,514.0,509.0,509.0,964614.0,800395.0,681593.0
