,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_up < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,150800.7733824194,139501.3001121278,135590.7974085054,135406.7315522989,134857.17047909347,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11190.585771758886,10418.066181113747,9922.914776921778,8761.525560109529,7904.104551532805,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1011.4298895128676,928.7322786139506,882.2567068549176,801.362786758478,734.1336382442429,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1740.7622448680875,1615.6534725416764,1530.0731911265254,1525.948666676506,1521.9690160573614,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3718.276407809636,2460.0351115055464,2380.3541592712204,2374.417142249921,2365.177523308379,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,176.46882323383696,117.01823977210057,111.31191508999554,104.88063357467013,100.17425956446363,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,15.324699893557607,9.024495354130597,8.683006594840307,8.66842621995998,8.584330251525753,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.29691464876618,2.8571622727281896,2.7929039428034175,2.767830217316704,2.7478609790420734,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.2260942879434324,3.0414729765466046,2.9276820900432403,2.9127218857750496,2.8943673033184822,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,8.40209655543468,4.933035455200504,4.602924876897108,4.585124631193175,4.560609956003928,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9265199799601623,0.5755853666730867,0.5595713251559576,0.558414889549824,0.5551519788780839,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,27.222122484627214,22.328156800972298,21.363346885511657,18.59765611641641,16.334231451166914,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.88936467220745,13.460008808793809,11.672387262944518,9.514044058419461,8.102821913804751,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,137907.0,130877.0,129236.0,127724.0,148881.0
