,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.065023783348743,0.04420484164232251,0.03968451145959045,0.03962276793126778,0.03947919262585919
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.04603097935951258,0.032122118971976685,0.027887718669012733,0.02785065154062463,0.027775719559871334
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.03374620865049467,0.02248712186687498,0.019929560935376525,0.019929560935376525,0.019891991670303887
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.07373699857397298,0.04957834784278339,0.04346689001192651,0.04330461305709993,0.04326182200528342
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.001103479238743643,0.0007765714989953405,0.000475322095835979,0.00047333612272330004,0.0004661965423633182
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,0.8805137489864437,0.6634068655981289,0.2792053279072255,0.27869967779084964,0.2774701153255238
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,1.4587105245110958,1.0899849324881805,0.46988791706417943,0.46882183101611286,0.46668934955613905
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0005664476402359798,0.00037257339342022886,0.0002227621547932285,0.00022047632848491873,0.00022047632848491873
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,0.8123733047641494,0.6100423794828425,0.250656864865816,0.25010944606519203,0.24927129858068928
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.003211506753701493,0.002363259820648345,0.0013770184096145144,0.0013770184096145144,0.001361745005548004
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,15.889260257171221,0.0,0.0,0.0,0.0
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,12.972046686381429,2.717027505342492,2.622434790831312,2.3332045967627084,2.04773782659777
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,0.7719237185863825,0.0,0.0,0.0,0.0
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,2.4484768424454217,0.0,0.0,0.0,0.0
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,1.5078077635871359,0.775468207320707,0.775468207320707,0.775468207320707,0.775468207320707
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,0.0
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,0.0
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.0323587771487211,0.012894373744750592,0.012894373744750592,0.011663187857263104,0.009041270585822214
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.6516991796586064,0.18333281663310033,0.1698198792697393,0.1564672350607391,0.15145566992776316
Data,1331012.0,1331012.0,1331012.0,1331012.0,130.0,24.0,22.0,22.0,22.0
