,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985687597793724,30.944883291081002,30.939326271577116,24.762833045510074,16.12877168728082,9.009600971461563,9.001634699045756,8.979986381593154,,,
QCD,1117757.9198795077,1251971.8257647846,1099012.7199024037,1010557.3865396243,949392.4030456147,205708.04858375425,17409.960833331905,612.8424346992008,612.8424346992008,612.8424346992008,,,
TT,114729.520688572,114729.520688572,103191.20191184334,92840.08833303611,89611.88510287431,21706.54712243536,1403.9003912791627,58.77396865088247,51.447801394787504,49.176579302994796,,,
ST,9991.097357360095,9991.097357360095,8876.562993362075,8184.589479741274,7923.9598540277475,1899.5845030166925,122.71883903484034,7.6670452810774075,7.047730359734009,6.86194789032973,,,
W+Jets,14710.822213085146,14710.822213085146,13396.534931934088,12425.23812743614,11916.488443329912,1744.0197671309638,108.52440230243002,11.204070449392226,11.078962064609017,10.982249854269124,,,
Z+Jets,21597.004857058182,21597.004857058182,19300.288097552362,17935.77203458006,17145.081573721967,2863.6444747773216,510.3629276512808,23.0104542357133,22.865799876452133,22.865799876452133,,,
Diboson,936.1606241609029,936.1606241609029,850.8501661912385,803.2913693057035,771.9883644407507,84.29908840504254,20.611755323152355,0.8434079834187398,0.8434079834187398,0.8434079834187398,,,
ggFHbb,224.56874142701201,224.56874142701201,204.68202417304877,184.94624192346618,175.29115301868828,129.60365501185956,67.32091858076629,2.0058499399413057,2.0058499399413057,1.9824174323609625,,,
VBFHbb,66.27722451912622,66.27722451912622,60.62062480404775,56.15355779194064,54.04824306677838,42.04035894599596,23.474028883156826,0.8655773041025389,0.8655773041025389,0.8655773041025389,,,
ZHbb,63.465766584473805,63.465766584473805,57.635540215906765,54.55744342646091,52.12111169624213,33.24035813408497,17.997006302594027,1.050807594698853,1.0494114748425853,1.044519830888417,,,
WHbb,108.86564442012758,108.86564442012758,98.45557809636797,94.2170323002978,90.11208563154022,65.11957234901351,33.731997373872844,2.8407398485904354,2.839457841493666,2.82852966609828,,,
ggZHbb,9.5080271296301,9.5080271296301,8.537972606076476,7.869087631845407,7.59027263606386,4.021812369290529,1.9101463881214007,0.08577527796541301,0.08577527796541301,0.0851720653661577,,,
ttHbb,312.2634270090423,312.2634270090423,279.8295542589564,251.04564243275024,245.18197187027914,85.90537545549576,28.03150347082056,1.2776296936728857,1.1678401849978282,1.0578935523898993,,,
HWW,150.6196638895773,150.6196638895773,135.6185484608632,119.82393811275331,116.78543137409841,26.673734762892714,1.7183911256950406,0.22730732237316809,0.2058960381406738,0.19075621051210073,,,
Data,1414872.0,1414872.0,,,,252182.0,19780.0,1022.0,1012.0,997.0,1283242.0,1192162.0,1159898.0
