,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_down < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,24.72452602514122,8.624489001465001,4.059584589761046,4.052747731545395,4.03075063383851,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,204494.41565422306,187059.39300734518,181176.0969086468,180868.72715753524,180007.2761060896,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21943.815211977515,20530.716756563284,19559.249877602524,16696.675925203115,14937.557242110866,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1901.5138893592336,1777.882492609424,1665.9359624789213,1465.7275520457154,1330.9868453080715,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1732.4006021651173,1625.4466928856918,1495.4458042577428,1490.7895511076476,1484.6251675832773,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,2791.8863096187956,2312.3053133764793,2206.913675241539,2201.240733512233,2183.253961887116,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,80.78855032183213,62.35058577287368,59.094121248657004,55.63799220961015,51.79272027105814,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,130.16637638911834,62.48103751004254,60.981798628495,60.858305444710275,60.57613216541288,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,42.258316765677485,18.553929195241786,18.02316794643034,17.99645270642018,17.80567481985876,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,33.33105602183172,15.291263629684565,14.422077463785802,14.392188282196003,14.279915951779323,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,65.55669618241772,31.599181967371557,29.093317434924383,29.03224580391526,28.852681270729114,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.057769589096728,2.133120360469026,2.0408546075290626,2.033651752587186,2.016269049511491,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,86.94527157058403,58.65056647191427,56.01541935063299,47.95903359007436,41.34231443121683,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.84696093764701,25.147506768257166,22.247890647436524,17.51888391075609,14.386944609456872,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,232402.0,220694.0,216722.0,213592.0,252182.0
