,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_down < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.080270195636736,16.333098783492623,9.124827574369167,9.116847756918302,9.094306620571551,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,205461.01403951534,17424.98846757553,635.7533830312466,635.7533830312466,635.7533830312466,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21592.571063999345,1390.7321513373868,59.222745211006455,51.99686840407708,49.517097475063615,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1892.9235517040647,123.46941517168965,7.668352082347894,7.049037161004497,6.863254691600217,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1737.6201138921617,107.31528803756099,10.820085369688833,10.694976984905622,10.598264774565731,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,2811.092129523795,485.8792231005034,21.849251691455763,21.704597332194595,21.704597332194595,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,83.1012774580188,18.69513828762989,0.8434079834187398,0.8434079834187398,0.8434079834187398,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,130.90648944929904,68.03180069492902,2.035118052027583,2.035118052027583,2.0116855444472392,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,42.47845389613418,23.787065833127464,0.877049330042679,0.877049330042679,0.877049330042679,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,33.51320083789226,18.1333788165176,1.064902022972049,1.063505903115781,1.0586142591616126,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,65.95038336792742,34.150225326772414,2.8666354338090794,2.86535342671231,2.8544252513169237,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.065035775584361,1.933313047558007,0.08741753960518729,0.08741753960518729,0.086814327005932,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,86.19248198928564,28.231747456222013,1.2668773291696653,1.1519495962581106,1.0398468220581922,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.586372844154397,1.6776205135712745,0.2163866222306371,0.19755165264986227,0.18202636661880617,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,19780.0,1022.0,1012.0,997.0,252182.0
