,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_down < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.080270195636736,8.74717141214412,4.115453061093985,4.108334625211949,4.086724151480541,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,205461.01403951534,188036.02557193983,182134.5146067336,181797.27429025006,180893.32801766464,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21592.571063999345,20201.83891266196,19251.176165072575,16414.730108587875,14693.55650149888,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1892.9235517040647,1769.454136532375,1657.777244220028,1455.4706766797729,1319.7288527256799,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1737.6201138921617,1630.3048258546007,1499.7763282475553,1495.202061751196,1488.7868726012216,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,2811.092129523795,2325.2129064232913,2218.941735950585,2212.9071565926406,2194.826083005233,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,83.1012774580188,64.4061391703889,61.14967464617223,58.20755414280928,54.40966149203634,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,130.90648944929904,62.874688754370055,61.33029278224803,61.206799598463306,60.91066130231188,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,42.47845389613418,18.691388063006716,18.160626814195272,18.12049723178819,17.92028427775586,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,33.51320083789226,15.379822021374665,14.506482750903986,14.475198285535,14.36466782349745,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,65.95038336792742,31.800158041155008,29.271182382727,29.208057080703036,29.03568102846021,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.065035775584361,2.1317227280263547,2.0393279234945525,2.0323674909125553,2.014208808425836,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,86.19248198928564,57.960734533063615,55.385454258292185,47.36154331197193,40.806946184408396,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.586372844154397,24.908752330583127,22.033668185465743,17.33544958128653,14.254253853357413,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,232402.0,220694.0,216722.0,213592.0,252182.0
