,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_down < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.380754292313882,2.010215570321039,0.9512315543455165,0.9497695184474988,0.9413999858711377,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,207904.44256569882,190960.5525262011,185078.3901080173,184720.62499635998,183807.57636021246,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,20754.01854284085,19410.750109742337,18470.48150206318,16110.206143358824,14393.191226327303,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1829.762506181572,1706.0610162460484,1615.1558781087283,1446.0017205317454,1304.3862684611322,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2391.1817683185927,2215.9506878917005,2059.89169305034,2053.9103837936054,2044.352616992104,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6978.928202143567,4535.170291586528,4349.337284455427,4340.130653705025,4316.448680926778,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,282.3896720294345,177.14729623510738,170.34023943051835,161.52883707970935,150.33631483490976,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,31.20226486200815,18.63141299506185,18.143827766677646,18.10679949468281,17.91634345393468,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.30172398406652,4.648290909132893,4.561941716173974,4.532363974125003,4.455949729856194,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.559523960704162,5.942970985038156,5.66991233252683,5.664208017080991,5.578237051537935,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,15.118533075542343,9.151699965217183,8.517001140087846,8.491856797273996,8.40123416498701,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.7322205664216646,1.0892687053390322,1.0502445731396517,1.0471452999357045,1.0378932982899625,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,51.02491713044026,42.62161828667135,40.96177510663931,35.728790259732904,31.240159916426876,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,27.027260832871733,24.338392137981014,21.03902328596042,16.925598684012332,13.896085767045346,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,235981.0,223959.0,220553.0,217416.0,256609.0
