,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_up < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,5.956185248383615,2.5166046616479703,1.1911826850694802,1.18975801880209,1.1809015992120813,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,205996.15543698176,188993.37697153247,183067.1013715097,182682.89849520935,181857.37507818826,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21361.630014003687,19940.748042539068,18984.542378238275,16638.270956840126,14894.475536427512,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1862.4241883600068,1731.132026536954,1631.6726652059467,1469.3865001739728,1328.8370908331358,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2525.576691730321,2338.9150131107845,2173.0417718634253,2166.981760638752,2156.2686175678746,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6451.059496873683,4240.274924239854,4063.3254151181764,4054.5482122021654,4031.5219634146433,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,275.7616213929608,177.28920469144472,169.55966120769335,159.57373657627113,149.66076980469046,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,38.46537831186017,21.630170333915565,21.135017428077568,21.081303365885688,20.834745137243985,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,10.891822586532488,5.754641166986849,5.6377645274549355,5.594772443009045,5.503108555476233,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,13.123712279365668,6.640406924786575,6.304572279822704,6.293038353405114,6.213209368242513,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,18.897308870537167,10.87907057867918,10.098309143535081,10.069844464571299,9.975422667968175,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.8791457894667474,1.1575540445066625,1.1134142062475743,1.1108850619360218,1.1017161384193617,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,53.24956147649574,43.874799735935326,42.17817051918821,36.589748550548926,31.70892142114058,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,27.754314305216234,25.13277912426114,21.710307818398366,17.599376724141326,14.520236863876882,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,235981.0,223959.0,220553.0,217416.0,256609.0
