,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_up < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,23.257312400653916,15.128201825075546,8.452155050047411,8.444999838755727,8.424813437744671,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,204740.94396831852,17369.61597249105,640.0412634527295,640.0412634527295,640.0412634527295,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21813.285426109134,1399.8466858404493,57.357187427825366,50.684450319127485,48.32834511592412,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1896.8086904025358,123.44081252216927,7.982486512913605,7.363171591570208,7.177389122165928,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1746.252672307316,109.37398551818234,11.278682887070829,11.278682887070829,11.278682887070829,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3049.7563055673545,602.0175941555317,26.181650060080763,26.036995700819595,26.036995700819595,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,91.69845861920103,23.88333989145105,0.5773107124024608,0.5773107124024608,0.5773107124024608,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,121.16692900799694,62.90399974713066,1.8286207696445733,1.8286207696445733,1.8051882620642303,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,39.332293990041094,21.99422105449967,0.833249230228807,0.833249230228807,0.833249230228807,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,31.28550204805748,16.894859627656473,0.9791014240776512,0.9777053042213834,0.9728136602672148,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,61.20924207520538,31.581551207924928,2.7161742154846604,2.7148922083878912,2.7055942598165146,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,3.81891606508702,1.8059667500133432,0.08202370031554121,0.08202370031554121,0.0814204877162859,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,83.85208764126786,26.745148130864298,1.1998051756386838,1.1077770196016565,0.9959062087944692,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.74949449644118,1.7478391996937326,0.26200265276870865,0.23617373710024317,0.22016841384014607,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,19780.0,1022.0,1012.0,997.0,252182.0
