,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.982213548336777,30.937417472865732,30.93082292095139,4.659093013762212,2.1027194139787575,0.9952115848689342,0.9938548825472537,0.9855840835343344,,,
QCD,1117757.9198795077,1251971.8257647846,1089263.6015733394,997356.7293659851,930808.8629285059,204120.64291430594,187489.6362523955,181725.11593458845,181339.43506634602,180476.53140204298,,,
TT,114729.520688572,114729.520688572,102488.99259953517,91636.58581004354,88074.61034949859,20493.661539378525,19165.065827949147,18242.167515679437,15921.454650981017,14243.44093118815,,,
ST,9991.097357360095,9991.097357360095,8813.979477349261,8090.8633238099565,7802.3722044939195,1807.4817689120127,1679.831954022233,1585.9767189695156,1419.8764708545277,1282.621364042612,,,
W+Jets,14710.822213085146,14710.822213085146,13309.997236844787,12289.8028470679,11732.614807501395,2381.451058789109,2208.6793778346873,2050.980901215321,2045.7717699311922,2035.5908572611963,,,
Z+Jets,21597.004857058182,21597.004857058182,19150.920965168283,17725.883886021395,16861.14716378858,6766.013633533021,4409.561013245075,4225.152114914991,4215.978230404537,4192.7482231868635,,,
Diboson,936.1606241609029,936.1606241609029,844.4338248758528,795.8565281877022,761.4684852741487,272.5632518937052,170.60582973191532,164.50964652713944,155.00265533084024,143.28500531571953,,,
ggFHbb,224.56874142701201,224.56874142701201,203.17491515262697,182.51006921333993,172.00538108694283,31.495019969444627,18.453361593026116,17.94318872602107,17.906160454026235,17.722689817125598,,,
VBFHbb,66.27722451912622,66.27722451912622,60.283927123911184,55.48463027564431,53.20421045499424,8.388277993563216,4.537374998027547,4.451025805068628,4.421448063019657,4.304231667531977,,,
ZHbb,63.465766584473805,63.465766584473805,57.226156792374354,54.01226272805952,51.30995660160751,11.585450969129397,5.95879888265064,5.6772194972536525,5.670752761087588,5.587545389045595,,,
WHbb,108.86564442012758,108.86564442012758,97.71271985447412,93.29532734761905,88.73211078186525,15.64927652238703,9.429125045177008,8.774301122169772,8.750347361746545,8.664823206242131,,,
ggZHbb,9.5080271296301,9.5080271296301,8.481146692985588,7.78090427018692,7.479060679939495,1.7362852578031065,1.0888733811218754,1.047810898280466,1.0451727996677018,1.0355766404315347,,,
ttHbb,312.2634270090423,312.2634270090423,278.0420807441895,247.91306569218486,241.45282290087226,50.72790623500081,42.29781151566954,40.673153946913,35.45328268543098,31.012698282160798,,,
HWW,150.6196638895773,150.6196638895773,134.8178450012991,118.2406663980612,114.8878170701976,26.77897106691785,24.144635159261988,20.85137782013055,16.810118167189348,13.824929328589636,,,
Data,1414872.0,1414872.0,,,,256609.0,235981.0,223959.0,220553.0,217416.0,1283242.0,1192162.0,1159898.0
