,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_up < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,24.777238569548814,16.134930683405695,9.012187867299394,9.004209497111011,8.982474908205086,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,205804.01381399724,17351.987564272444,613.178291823895,613.178291823895,613.178291823895,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21342.477439676135,1377.1549427486416,57.912542627216034,50.74049999199243,48.47042661058438,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1864.5491452701197,122.06427772030821,7.619235985931434,6.999921064588036,6.814138595183756,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1750.5634507390264,109.25475884330697,11.144983719785882,11.019875335002673,10.923163124662782,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,2920.427478374368,538.4380238185176,23.92505310388372,23.780398744622552,23.780398744622552,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,88.40473645530591,21.832293184086456,0.8434079834187398,0.8434079834187398,0.8434079834187398,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,128.14785784904834,66.52259191657618,2.0293876118462375,2.0293876118462375,2.0059551042658943,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,41.8191368242758,23.417037636264702,0.8655773041025389,0.8655773041025389,0.8655773041025389,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,32.88455648913934,17.81903480294295,1.0511540085831217,1.049757888726854,1.0448662447726853,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,64.59689191059121,33.43955665582524,2.8150352800478995,2.8137532729511303,2.8028250975557443,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,3.9789010757127308,1.8876364919682196,0.08408445895057856,0.08408445895057856,0.08348124635132326,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,84.52765493749934,27.7216380281465,1.2603825325137343,1.150593023838677,1.0402019943622107,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.29272815363808,1.705073060766519,0.2248672687544322,0.20428405613311856,0.18836020858741837,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,19780.0,1022.0,1012.0,997.0,252182.0
