,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_down < 162.5,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.380754292313882,2.370538721992843,1.318619714010768,1.3174613534062625,1.314803946886571,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,207904.44256569882,16943.89003949771,668.8384057983935,668.8384057983935,668.8384057983935,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,20754.01854284085,1343.2684330985173,56.27975003761565,50.68198047956189,48.37984635581249,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1829.762506181572,123.70148993552363,8.797648283575084,8.370119241448073,7.950728837087956,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2391.1817683185927,175.23108042689222,15.264956635718836,15.264956635718836,15.264956635718836,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6978.928202143567,2443.7579105570403,95.56150473752828,95.56150473752828,95.0789061449445,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,282.3896720294345,105.24237579432715,4.677910653384276,4.404720982188274,4.404720982188274,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,31.20226486200815,12.570851866946299,0.448960489584571,0.448960489584571,0.448960489584571,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.30172398406652,3.653433074933628,0.1056835469916712,0.1056835469916712,0.1056835469916712,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.559523960704162,5.616552975666007,0.1831456641346464,0.1831456641346464,0.1831456641346464,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,15.118533075542343,5.966833110325158,0.456595228076908,0.456595228076908,0.449949671677726,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.7322205664216646,0.6429518610826324,0.021987212818969853,0.021987212818969853,0.021987212818969853,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,51.02491713044026,8.403298843768916,0.34654152235238983,0.32147621021950035,0.2945770674741195,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,27.027260832871733,2.6888686948907186,0.6662145585328267,0.6436848918390095,0.6297745669388757,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,20628.0,1102.0,1091.0,1083.0,256609.0
