,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_down < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,11.510502256582958,4.271297005692269,2.2205589980669878,2.2160290594062437,2.207642581274787,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147270.85340777115,136048.62570120333,132616.2664264866,132378.07648990725,131933.18641508283,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11521.875898040082,10709.218949828548,10205.167212008237,8831.268125224497,7978.811286688919,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1020.344194875312,959.8073190705418,912.5130465117833,811.0632716954137,749.4096830386752,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1184.2833293865474,1112.3218077830684,1042.8540270478352,1040.0397310603785,1037.1409194976436,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1623.8936237550686,1333.9316748086171,1282.222592731273,1279.026232269469,1271.147626745855,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,45.354722126953725,34.579651975788565,32.694138245117585,31.00705743062282,30.386952126171572,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,60.3285780966131,29.167886512089837,28.580520570858376,28.45704728839054,28.255332102491302,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.33838802206357,9.27194595074646,9.002264282997352,8.978285752909752,8.92297410080409,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,15.783303531105133,7.247205315115667,6.853406632578018,6.833198568198859,6.796495409194349,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,30.774866135328956,14.853441915191805,13.903303947821097,13.884085505140625,13.820948937970565,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.003783437076552,1.02690053519515,0.9890242060464665,0.9863485402411043,0.9789067431629221,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,42.63493705671593,28.91938281114101,27.613169156163273,23.964607297814894,20.755383053412846,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.809798799378614,13.750191011637858,12.205679749158353,9.805210671447842,8.18999144522327,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,136050.0,128926.0,127045.0,125535.0,146205.0
