,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_up < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,11.493599312400768,7.226482579443061,3.5749590426205997,3.571060299138521,3.5638027407418367,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147692.60436946814,11388.114181020468,367.5399376649052,367.5399376649052,367.5399376649052,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11413.81840213851,804.6005981067226,34.085688822095996,30.92348163549742,29.40405652357017,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1014.1614270397423,60.38068478431365,3.302820238758616,3.302820238758616,2.6306164967622245,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1185.8489327976013,73.46479609086259,6.012576912156944,6.012576912156944,6.012576912156944,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1643.8902863009157,298.88008959056475,9.94600327693448,9.94600327693448,9.94600327693448,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,46.77736176456973,11.324326174249814,0.48616688795535856,0.48616688795535856,0.48616688795535856,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,59.825445406360636,30.820593159894695,0.5274405805266331,0.5274405805266331,0.5274405805266331,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.118748906583516,10.948120472204142,0.3077832783774024,0.3077832783774024,0.3077832783774024,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,15.698175461723068,8.487420494307306,0.47595463727779125,0.47464662886521947,0.47464662886521947,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,30.59004187041978,15.82894413778369,1.172791065708696,1.171773558670663,1.1653154982055112,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,1.9921517534616848,0.9739540515693341,0.036029457318877064,0.036029457318877064,0.035733207774148,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,42.179713043195136,13.585562815800186,0.5584844694001041,0.5136277708831839,0.4678893215629855,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.819816210732128,1.0715750334039593,0.15384189634260348,0.13922035184285192,0.1311263013765201,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,10155.0,514.0,509.0,509.0,146205.0
