,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664260411097093,14.635072220961053,14.627608295073381,2.30448681337518,1.0639789193156322,0.561682480966555,0.5608825588979989,0.5572017400059,,,
QCD,900603.3727572492,1219440.080463653,909928.9429965606,785236.0652000139,679205.6226592734,151197.9406455322,139803.30676042155,135805.44738622624,135626.30503235172,135069.82867745767,,,
TT,76537.02908224257,76537.02908224257,62557.36315546046,53000.20343567669,48474.764998012986,11268.064649149395,10490.564717093226,9992.27067284446,8822.68136601448,7955.541837586516,,,
ST,6617.229257123121,6617.229257123121,5335.947878225384,4671.093017370051,4316.329167356108,1015.3332517847475,932.6561941348306,885.5820640075232,804.8900667130248,737.1228107100684,,,
W+Jets,12421.273275458932,12421.273275458932,10085.632255578521,8872.840668642282,8000.8098146950315,1725.5322397370903,1601.2360214741836,1516.3530845471316,1512.3487907299634,1508.496867167626,,,
Z+Jets,14717.02364266734,14717.02364266734,11607.577832738309,10264.437247619908,9237.457278939428,3706.0951248263555,2455.969199666443,2375.9984285159567,2370.1189038518874,2360.956697419867,,,
Diboson,703.6912877316817,703.6912877316817,561.935848304568,505.49172874834346,459.1384749004718,175.41141627211124,116.17487256424047,110.23484633869433,103.8035648233689,98.92818004059649,,,
ggFHbb,138.81856362723408,138.81856362723408,112.79813188249241,94.68291189158188,82.8868055056263,15.228025323195963,8.952269209191527,8.63814387247394,8.623563497593612,8.539467529159387,,,
VBFHbb,40.60062332311162,40.60062332311162,33.71831610558429,29.970272986083934,27.44394612122658,5.200573066703498,2.7844261125542284,2.7201677826294564,2.695094057142742,2.6840932031597804,,,
ZHbb,38.56092725636813,38.56092725636813,31.207671731688173,28.323667474001752,25.372757979720827,6.179398672372831,3.050708924555468,2.9379759554134464,2.9230157511452557,2.9046611686886887,,,
WHbb,66.232275837835,66.232275837835,53.23241685245674,49.03526487505052,43.95718730461949,8.374235464458142,4.913570713159229,4.577574708079342,4.559774462375409,4.535259787186163,,,
ggZHbb,5.921431593700421,5.921431593700421,4.832810364534362,4.242572613666432,3.8970104086368287,0.9229839972952001,0.5733277297752637,0.5579287398071612,0.5564670553837898,0.5532041447120497,,,
ttHbb,187.9810602386041,187.9810602386041,157.13026669900506,134.917050892509,126.98431520212135,27.264483526197463,22.40046764070209,21.422841982297285,18.637290690236203,16.365817474790717,,,
HWW,97.55810924622654,97.55810924622654,81.60624241757364,68.68589895431575,64.49322604480872,15.007553588022295,13.57659453410055,11.786499755966975,9.591811395960939,8.160068947233436,,,
Data,1331012.0,1331012.0,,,,148881.0,137907.0,130877.0,129236.0,127724.0,964614.0,800395.0,681593.0
