,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.661712998978118,14.629831302332667,14.622636637998827,11.50077791243085,7.233471809916726,3.5798996745478915,3.5760998608033936,3.5688423024067095,,,
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,143071.31571250263,11016.026283908033,345.95265964502875,345.95265964502875,345.95265964502875,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,11078.967984769424,783.4013602728143,33.10371003872261,29.94831992673501,28.56410973572152,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,985.6271533297969,58.99910763644921,3.356377380773341,3.356377380773341,2.6841736387769504,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,1150.1473958692131,72.07245749779995,5.970915553589562,5.970915553589562,5.970915553589562,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,1585.9067179171514,286.7428743380993,9.740082399899833,9.740082399899833,9.740082399899833,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,44.93889597213475,10.51971792297253,0.48616688795535856,0.48616688795535856,0.48616688795535856,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,58.31638260681774,30.20432922953185,0.5274405805266331,0.5274405805266331,0.5274405805266331,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,19.812470980220528,10.737923408717275,0.3077832783774024,0.3077832783774024,0.3077832783774024,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,15.362457296954439,8.337196507056905,0.4713212318449342,0.4700132234323624,0.4700132234323624,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,29.91569566932147,15.449644917641564,1.1577529475483752,1.1567354405103423,1.1502773800451904,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,1.940982767315837,0.9488996941275254,0.035701870738911484,0.035701870738911484,0.03540562119418242,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,41.251559481141655,13.345885118390381,0.5518945641319684,0.5052482592293057,0.4617923599120689,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,14.358142592974737,1.0273917337823124,0.14715821150594,0.13253666700618844,0.12444261653985661,,,
Data,1331012.0,1331012.0,,,,146205.0,10155.0,514.0,509.0,509.0,964614.0,800395.0,681593.0
