,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.666859179111984,14.639694914964442,14.632642071239111,2.305428555264342,1.2406186211396295,0.6082243704130049,0.6077170013557216,0.6063567599385541,,,
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,155297.85127099222,11697.453731153768,497.0124125030488,497.0124125030488,486.52799610263276,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,11577.124986557272,796.7464569952547,33.97871704224427,30.904823780642943,29.044102780955555,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,1040.5511922622409,84.35904973233882,4.825157943513236,4.481382039067947,4.481382039067947,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,1763.005377581443,126.79922298922992,8.441594208879712,8.441594208879712,8.441594208879712,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,3793.1727716346077,1277.2102434867652,40.85993164515841,40.85993164515841,40.85993164515841,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,177.88243423525262,59.74857762589062,3.3012435820194375,3.1774902921447596,3.1774902921447596,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,15.707484049450187,6.445580722015581,0.16012637539295926,0.16012637539295926,0.16012637539295926,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,5.41583817500918,2.488992435270796,0.05442172740217169,0.05442172740217169,0.05442172740217169,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,6.322921207193183,3.1902112099233335,0.09948710318551113,0.09948710318551113,0.09948710318551113,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,8.564228064143602,3.5276238619634674,0.24684216776205375,0.24684216776205375,0.23717104705215436,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,0.9407271180854362,0.35541640504115013,0.012856104434532403,0.012856104434532403,0.012526327353006246,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,27.963109621683287,4.975139493922819,0.21651563926698963,0.20345485159922472,0.18417608825199744,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,15.366574006508955,1.4622871829132058,0.31802316638016676,0.3034190542443452,0.2943071791060579,,,
Data,1331012.0,1331012.0,,,,148881.0,10974.0,574.0,571.0,566.0,964614.0,800395.0,681593.0
