,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.661712998978118,14.629831302332667,14.622636637998827,2.303270063384037,1.0632621307665204,0.5609656924174431,0.5602475882129665,0.5565667693208676,,,
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,146273.12125274187,135272.77720004405,131456.68916085194,131283.38671847602,130733.74666505527,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,10903.309380899316,10149.365629957154,9665.218122580805,8536.009375409487,7704.974571091587,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,986.675382829462,906.7461490699638,861.0997147796041,782.9179759327699,718.3108241557318,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,1681.4651922729106,1559.3507437890298,1475.843999835741,1471.9084180249652,1468.0564944626276,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,3605.118767727688,2387.550275068719,2310.5635409300417,2304.761617186113,2295.8917130293444,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,170.7959822038427,112.68080208879381,106.97447740668875,100.74470914430358,96.09524105391228,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,14.490828333512798,8.478814651101086,8.164689314383498,8.15010893950317,8.066012971068943,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,5.0796048086654775,2.6950664123948336,2.630808082470062,2.6057343569833478,2.5947335030003855,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,6.041144508779402,2.982250772970752,2.8723874219905,2.859004574939757,2.8422021806617455,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,8.15977385341892,4.776069775028802,4.446345582559965,4.428545336856033,4.4073567719249915,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,0.8997996538627273,0.5580831484998114,0.5432895588449245,0.5421331232387908,0.5388702125670508,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,26.544614396348116,21.781534463654758,20.831183505995487,18.135710584166723,15.925018290595801,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,14.551051572835501,13.162325102020485,11.412708754939533,9.307464266271307,7.93110822036426,,,
Data,1331012.0,1331012.0,,,,148881.0,137907.0,130877.0,129236.0,127724.0,964614.0,800395.0,681593.0
