,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6710440867840302,1.6669042407462995,0.17008499746611377,0.11899699416185965,0.10530561864139044,0.1051777387612522,0.10462824778130729
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.261824665802835,1.2596759191113927,0.12556517439944556,0.0872075546846845,0.0766312878960741,0.07653153312442595,0.07621470498301142
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3296435101641653,1.327003185268209,0.09205634112956865,0.06302684126906441,0.05543304031587521,0.05537978279551074,0.05525668392128024
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1386686297940076,2.1336404933361868,0.20924014433255855,0.14349575306360984,0.1270264146773989,0.12679650077321003,0.12582425726948404
VBFHHbbVV,0.034040204061650904,0.03394017428372224,0.033865410799616094,0.0025823325246771356,0.0019485801259498036,0.0011399251374408078,0.0011341157785825372,0.00112264604027161
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.738024841146384,20.72397824978978,2.6655513715364125,2.0126405974401003,0.8419795272632546,0.8400764860114275,0.8362275792435572
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.749979070314005,34.725639302628466,4.4845866790715405,3.402042839814158,1.447812981757857,1.4447016509513673,1.4367229410651148
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484718891755414,0.03479088904760456,0.0015518845323472213,0.0010614464668854907,0.0006792702031871757,0.0006791288078993286,0.0006705986015233655
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.884521982052938,18.873229234391513,2.47045698554832,1.8716502266848958,0.772829232856623,0.771179109077045,0.7675458940321356
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08869816364046831,0.08844079000849456,0.00969888598666372,0.007037994793572191,0.003900095556489064,0.0038847381805772285,0.003859579486273297
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.215096339103239,11.207686939618187,1.4638109771134553,1.1070385841000656,0.4620363783439151,0.4611284650790138,0.459098319793265
