,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6710440867840302,1.6669042407462995,0.5424824997125303,0.5415284412269431,0.5381965010287351
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.261824665802835,1.2596759191113927,0.4275447361618137,0.42686091377957924,0.4240423490119099
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3296435101641653,1.327003185268209,0.5919292688946547,0.5908835705449657,0.5867614238587838
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1386686297940076,2.1336404933361868,0.704354865855336,0.7029556152711638,0.6980854316616203
VBFHHbbVV,0.034040204061650904,0.03394017428372224,0.033865410799616094,0.011492063103209924,0.011438670548737966,0.011340027428630287
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.738024841146384,20.72397824978978,5.49557784500097,5.482815687345869,5.444888633142748
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.749979070314005,34.725639302628466,9.243594264267177,9.221204766898069,9.160378193420968
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484718891755414,0.03479088904760456,0.016645327866013193,0.016582693227811626,0.01646391878167581
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.884521982052938,18.873229234391513,4.966735861691737,4.955137575938541,4.9222196028933025
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08869816364046831,0.08844079000849456,0.027289347818945493,0.027220181405863852,0.027087753146862036
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.215096339103239,11.207686939618187,2.957143709319676,2.9497701576444775,2.930032365820103
