,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6710440867840302,1.6669042407462995,0.17411630718907117,0.12183830340678835,0.10813736264970394,0.10800948276956572,0.10747561620581335
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.261824665802835,1.2596759191113927,0.12819714408072774,0.0889229617434138,0.07823939553626573,0.07811924190226319,0.07778247741778302
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3296435101641653,1.327003185268209,0.09382339898996436,0.06451880077387634,0.05680974233054817,0.056756484810183694,0.05657870928183377
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1386686297940076,2.1336404933361868,0.21398056690353046,0.14610030722996767,0.12970285236189982,0.12947293845771093,0.12850069495398495
VBFHHbbVV,0.034040204061650904,0.03394017428372224,0.033865410799616094,0.0026043255837361885,0.0019642152196982197,0.0011650056014851765,0.0011591962426269055,0.0011481015785323248
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.738024841146384,20.72397824978978,2.717827265324408,2.0511945514198313,0.865594676517483,0.86373752541417,0.8597693048969481
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.749979070314005,34.725639302628466,4.5743890985160105,3.4722614250464057,1.4862608604175749,1.4830628880860772,1.4750470426360347
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484718891755414,0.03479088904760456,0.0015835539094863813,0.001081882968286618,0.0007038842858268736,0.0007037428905390265,0.0006952126841630635
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.884521982052938,18.873229234391513,2.5201326990078394,1.9080474207987008,0.7942185793738518,0.7925192368140112,0.7887610047642253
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08869816364046831,0.08844079000849456,0.009796105203183463,0.00719527735373072,0.004023693635852782,0.004008336259940947,0.003983177565637016
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.215096339103239,11.207686939618187,1.4974149742691742,1.132728583958606,0.47620889056287674,0.4753038313050586,0.4732368456211895
