,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6755863889026215,1.6753489384450617,0.029698308176696987,0.015223640757530833,0.015172493938721748,0.015172493938721748
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2646281844240221,1.264526949675925,0.024741507344726257,0.012608009142060572,0.012591757731342797,0.01256799997509224
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3330370290340967,1.3328501897674974,0.018648818153316375,0.009348833024137925,0.009302260229489934,0.009083021112611504
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1446404192761883,2.144279422242817,0.03791401965297579,0.01857193193103632,0.018493782946556826,0.018449914767258824
VBFHHbbVV,0.034040204061650904,0.03403461271287648,0.03402990443058806,0.002683579536831967,0.001471704182327051,0.001471704182327051,0.0014684959490813046
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.7571914764134,20.756364340191308,4.83023568841914,2.9307718728416083,2.9274422904829525,2.918701316463781
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.78397802876074,34.782880615922885,7.889685616954914,4.8042205687209965,4.798272912094471,4.78265548639169
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.034954357028150244,0.03494645042749721,0.0013452026037870037,0.0007125687561331429,0.0007097752422891479,0.0007073849507495989
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.90099638276629,18.900221489541146,4.521281502754027,2.7725473169901322,2.769373299017604,2.7604661915895488
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08895254318039318,0.08892652783340338,0.009697726056773123,0.0053164962977162505,0.0053099821630592,0.005283566869056958
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.22489685307161,11.22449739264124,2.6476076915922273,1.6123092281827802,1.610194437769795,1.604884408867767
