,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.670729647881297,1.6670435576094471,0.169829612908767,0.11882374613810248,0.10513881724915658,0.10501093736901834,0.10446196993856284
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2614701622879583,1.259440993536852,0.12565007449281107,0.08724665470410634,0.07671450549771294,0.07661025468582935,0.07630149929188018
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3292502684741134,1.3267337041832328,0.0915144793327941,0.06256931622034123,0.054965454110431966,0.054912196590067505,0.054789097715837
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.138468689194001,2.1340193154121625,0.209507611438341,0.1437971276110057,0.12736320712001062,0.12713329321582173,0.12615511010539268
VBFHHbbVV,0.034040204061650904,0.03393582938740616,0.033871160273235265,0.002594132519769125,0.001960494685674413,0.00115008752705507,0.0011442781681967992,0.001132808429885872
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.73644397825026,20.722037733532726,2.6643666884715187,2.0122976546336675,0.8427384125203303,0.8408466590079207,0.8369537663897448
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.744869646013065,34.72131434687679,4.4791851024788425,3.399425226763377,1.4447308912407575,1.441619560434268,1.4336408505480152
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484227942935777,0.0347803482112243,0.0015554041918747917,0.0010656138481185038,0.0006844509722090885,0.0006843095769212414,0.0006757793705452783
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.882518787146754,18.871693381051568,2.469406627617285,1.871477913428558,0.7728886265518781,0.7711810724549453,0.7675632359541336
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08871362076753309,0.08853325223910656,0.00967095121998634,0.007023805887848912,0.003900480802130176,0.0038851234262183404,0.003859964731914409
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.21423154769202,11.207374519255973,1.4639303642678048,1.107009055716461,0.46224154252572475,0.4613336292608234,0.4592962128087462
