,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.666468234883693,1.6589532192194563,0.5395235018154856,0.5385817577205849,0.5353025770882377
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2586753580761936,1.2542438025650344,0.4253452103962703,0.4246808658649498,0.42188000243797447
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3268342817559162,1.3215964844896422,0.5893388342306148,0.5882931358809258,0.5841666931926117
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1322315313998526,2.1214995657305935,0.6997965070856502,0.6984210126282521,0.6936075100117544
VBFHHbbVV,0.034040204061650904,0.03384862601096976,0.03369675213511948,0.011429132411164937,0.011376023162800807,0.011277380042693127
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.717090837124427,20.688288646849628,5.483574463052256,5.470819978975879,5.432995231453233
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.71274254480236,34.66443232603068,9.223697496840114,9.201322190346385,9.140656263312401
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03473620369665886,0.03460425387072417,0.016546638896449764,0.016485186302084016,0.016366411855948195
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.86730051427866,18.845342868292377,4.957662334406182,4.946120201946526,4.913277114468463
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.0884662352365787,0.08800136503926469,0.02712155170963753,0.02705238529655589,0.026919957037554076
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.204614525476307,11.189951535303665,2.951489662297444,2.9441535991797316,2.924423454292684
